"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-10-11 14:",3508,0,15.5,0,3.1,57,0,0,47,240.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.3206,244.3014,1672.2695,4885.742,3180.4645,1754.9813,1479.5371,1259.905,1354.0576,1099.285,1105.999,727.6858,586.3984,1033.6391,441.5436,205.0516,2010.5743,6540.4937,3164.6345,1869.3334,1560.7128,1215.7218,1234.6837,1103.326,1146.5074,790.1592,638.7604,1380.6286,24435.8993,543,2340,6377,6099,3463,3502,3540,3266
"2022-03-10 11:",3582,2,12,0,1.6,36,0,8,106,144,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,742.8608,342.8582,1113.9659,3522.9135,2843.1033,1753.3972,1437.0312,1132.8583,1237.3311,1029.6025,944.0296,699.5777,488.1137,963.4452,368.1592,170.9722,1421.6685,5324.1005,3128.5621,1805.4949,1521.0054,1037.2875,1128.8201,1013.436,935.1988,715.375,645.4322,1361.3296,21335.6081,319,1387,6377,6099,3463,3502,3540,3266
"2022-12-20 08:",591,0,-9.3,0,0.6,71,1.1,0,39,86.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.934,251.969,804.2872,3270.7479,3057.0763,1630.1974,1361.9553,1173.7089,1191.4967,940.4674,913.8575,600.2992,467.0424,846.9094,424.2318,197.0118,886.38,5445.0879,3321.4088,1715.5374,1339.9771,1022.8624,980.8566,886.9944,769.0977,693.6315,517.4644,1313.9738,21141.9881,213,934,6377,6099,3463,3502,3540,3266
"2022-06-02 03:",3523,0,17.2,0,2.2,75,0,0,21,295.84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.3639,196.783,922.0328,3984.9204,3735.6895,1941.5544,1427.7769,892.9529,982.1179,834.3648,712.304,512.8269,400.8179,830.4599,396.5299,184.1474,1287.1015,6405.5428,4140.6484,1970.4298,1336.7227,753.7812,780.7984,733.7319,658.4764,611.308,538.4954,1187.9365,24943.2849,42,0,6377,6099,3463,3502,3540,3266
"2022-06-16 04:",3569,0,17.9,0,3,94,0,9,24,320.41,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.9538,192.9013,1001.9122,4152.766,3748.7943,1942.0353,1430.1981,978.4042,1025.412,805.944,740.927,566.7513,430.4752,834.0508,351.0728,163.0371,1314.982,6593.8562,4026.7928,1975.8285,1330.4025,815.1641,779.5876,758.5169,655.4573,638.3287,526.8407,1281.4439,25200.6737,50,17,6377,6099,3463,3502,3540,3266
"2022-10-08 10:",3571,4,16.3,0,2.5,65,0,1,19,265.69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491.0424,226.6343,819.7275,3465.6534,3302.0175,1919.49,1433.89,1059.0755,1137.1818,867.4108,913.7386,577.5795,474.8567,829.4171,585.3906,271.8537,1135.763,5446.2564,3473.2179,1782.92,1239.0558,996.9297,963.1659,914.4726,898.7181,707.8774,571.406,1216.9003,22062.501,396,1766,6377,6099,3463,3502,3540,3266
"2022-08-06 10:",592,1,28.8,0,2.9,80,0,9,33,829.44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,556.1653,256.6912,683.2698,3030.0786,3293.435,1904.7828,1505.6105,1036.9015,1124.142,879.0683,866.1773,561.2048,488.2625,840.8086,455.1334,211.3627,1014.2461,4634.2941,3397.5198,1812.9778,1350.4633,1022.6526,993.6247,817.363,850.3103,722.0161,529.6784,1267.5297,20929.1619,426,1599,6377,6099,3463,3502,3540,3266
"2022-08-07 09:",3860,1,28.1,0.9,1.6,86,0,9,13,789.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426.8119,196.9899,592.6138,3023.5178,3246.3787,1835.1771,1268.0212,972.1529,991.2363,770.7427,799.5635,502.8178,380.8349,753.7364,400.5613,186.0194,878.1749,4710.4723,3305.6526,1687.3347,1216.352,865.6076,802.9267,741.1751,710.0772,639.4732,548.3122,1188.1043,20292.9064,377,1645,6377,6099,3463,3502,3540,3266
"2022-12-02 20:",591,0,-1.5,0,2.4,39,0,4,16,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,469.1886,216.5482,1382.6506,5330.5698,4392.7938,2397.0544,1764.7508,1272.4605,1365.3356,1073.4858,1024.0691,705.0674,478.0562,912.8912,496.0142,230.3474,2066.3941,7594.6467,4825.9885,2434.3288,1608.7357,994.0858,1082.4723,979.7853,904.7268,779.1937,574.8053,1217.9869,30348.8685,655,3170,6377,6099,3463,3502,3540,3266
"2022-05-18 15:",3582,6,24.9,0,3.8,44,0,9,74,620.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,597.6166,275.8227,1645.7966,4303.7519,3019.1793,1709.0111,1459.7382,1246.4562,1363.9896,1198.9771,1086.7628,810.0546,547.7344,1130.5455,379.9539,176.4495,2115.9732,6149.1211,3213.1869,1799.0901,1374.1555,1142.9182,1328.0543,1149.1865,1097.0588,847.5065,713.8648,1412.0084,23027.2341,617,2518,6377,6099,3463,3502,3540,3266
