"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-07-04 21:",3508,5,29.6,0,1.6,75,0,7,26,876.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,532.3871,245.7166,1068.6478,4541.314,4042.8362,2144.9447,1616.3571,1087.3365,1137.312,1051.9801,919.1709,648.2337,462.6781,881.3049,382.5885,177.6729,1571.9856,6587.2544,4213.6489,2122.5331,1336.2095,911.0611,882.0961,927.4641,881.1346,717.9197,567.2809,1315.3881,26605.0979,625,2852,6377,6099,3463,3502,3540,3266
"2022-08-04 19:",3508,3,30,0,3.2,72,0,2,17,900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,521.3061,240.6022,1181.9044,4382.2991,3869.7168,2034.2344,1723.9804,1275.4679,1193.8296,1035.6348,999.7478,626.2055,467.6473,841.4318,574.9058,266.9849,2027.1337,6442.3949,4375.9887,2188.3914,1455.6883,951.6665,1057.4536,995.5923,976.4681,751.728,553.1389,1333.7451,26472.694,859,2872,6377,6099,3463,3502,3540,3266
"2022-06-07 13:",3508,2,25,0,2.2,41,0,8,11,625,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,773.6708,357.0778,1681.9065,4683.2618,3031.0904,1694.8207,1528.7869,1322.1142,1395.3477,1302.4628,1167.9482,788.4298,541.9924,1058.9909,383.0576,177.8908,2016.4806,6434.2072,3307.2789,1778.3035,1491.8691,1233.2211,1353.5131,1236.5496,978.6137,834.0274,723.892,1536.2977,23949.6185,438,2042,6377,6099,3463,3502,3540,3266
"2022-09-08 09:",3508,1,21.2,0,1.8,73,0,0,24,449.44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.656,270.7638,1018.9954,3743.4922,2852.3088,1654.9438,1398.5234,1108.437,1283.1647,1002.2555,991.4943,672.3152,538.6312,948.0437,436.2328,202.5851,1364.1277,5339.9701,3032.377,1639.2485,1401.8454,1025.5662,1020.0703,1015.8373,796.757,750.2871,584.2891,1257.3671,21062.7092,514,2913,6377,6099,3463,3502,3540,3266
"2022-05-02 09:",3508,3,13.3,0,2.1,77,0,1,58,176.89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.764,274.0446,1239.7868,3764.6343,2891.7958,1605.7853,1518.3396,1045.2626,1272.0659,1163.2071,990.6064,683.35,514.6219,891.7415,401.2019,186.317,1471.2491,5231.3704,3107.6323,1722.6966,1346.2425,1100.8356,1069.1569,974.0919,1034.9027,726.92,651.3083,1389.966,21188.4968,539,2918,6377,6099,3463,3502,3540,3266
"2022-04-18 19:",3508,0,17.5,0,3,31,0,0,37,306.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,474.7792,219.1286,1642.1254,4918.7493,3961.3349,2249.1601,1764.7207,1366.5175,1399.4564,1200.3454,961.7985,653.7064,474.4196,899.913,501.821,233.044,1864.0651,7014.0074,4442.9346,2235.3032,1619.5399,1095.8911,1128.5479,1055.7432,1006.8909,735.9903,633.3671,1275.7867,28205.7501,800,2880,6377,6099,3463,3502,3540,3266
"2022-09-26 01:",3508,1,17.4,0,1.8,68,0,5,14,302.76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.8106,147.1431,846.0434,4040.2481,4031.6533,1973.768,1343.817,862.6766,1047.0166,796.582,737.6438,543.0666,387.0628,796.0942,357.4839,166.0145,1174.7302,6436.4127,4055.5472,1943.0727,1370.5883,727.803,782.1945,761.1551,627.0881,637.8393,483.0204,1148.0721,25195.1073,65,0,6377,6099,3463,3502,3540,3266
"2022-10-11 11:",3508,2,12.3,0,2.8,66,0,0,36,151.29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,600.2474,277.0367,1408.4461,4668.9414,3190.6918,1742.845,1409.1445,1194.4204,1261.0462,1059.3218,1073.321,760.7439,543.3996,873.2834,428.1061,198.811,1706.9274,6703.6361,3082.1321,1691.9993,1504.1465,1180.4473,1241.9545,1132.0365,1028.3917,812.6995,588.796,1420.7942,23993.5367,389,1693,6377,6099,3463,3502,3540,3266
"2022-03-25 19:",3508,3,16.4,0,2.8,54,0,10,59,268.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,427.219,197.1777,2249.7885,5377.1771,4494.6011,2372.6189,1801.8719,1283.1749,1214.9557,1039.7149,942.3844,609.4513,435.0653,902.9706,509.9264,236.8084,3007.1566,6972.3435,4424.7517,2156.1037,1509.4202,1065.5296,1158.1455,909.9352,862.4393,699.9163,573.3171,1308.842,29108.8881,753,2857,6377,6099,3463,3502,3540,3266
"2022-07-29 14:",3508,2,33.9,0,2.7,55,0,6,32,1149.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,554.0379,255.7096,948.4347,3176.5549,2794.7324,1721.3071,1595.302,1093.8003,1146.9497,1066.2714,950.404,673.8487,535.4339,898.2354,691.4488,321.1067,1472.7865,4616.5289,3017.1078,1654.6177,1457.2449,1200.5214,1169.6123,980.0667,975.5926,807.1625,586.0869,1336.0331,20033.3957,514,2019,6377,6099,3463,3502,3540,3266
"2022-07-01 23:",3508,3,25.9,0,1.2,86,0,7,8,670.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,413.4012,190.8002,899.8111,4758.7393,4489.7012,2294.3229,1693.0841,1089.4168,1007.6619,853.7697,757.81,605.7202,394.3977,766.0339,381.2456,177.0489,1280.24,6243.8475,4371.0014,2021.9685,1365.5023,873.6942,793.5401,786.5471,722.1493,660.3867,505.4655,1224.6875,27238.1672,593,2887,6377,6099,3463,3502,3540,3266
"2022-05-06 01:",3508,0,15.8,0,0,72,0,0,28,249.64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.953,223.824,1138.0694,4505.4227,4002.0918,1947.2516,1447.2297,942.1941,1028.7607,842.466,891.1224,574.7556,440.0165,875.3886,437.9598,203.3871,1497.8217,6349.2906,4057.3178,1945.4224,1319.1701,848.346,782.8209,820.7783,753.2398,668.1158,585.2037,1210.329,25573.1967,92,0,6377,6099,3463,3502,3540,3266
"2022-12-12 07:",3508,1,-1.2,0,1.7,66,0,9,38,1.44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.8717,185.479,812.3445,3841.9291,3560.2537,1957.3096,1460.0282,1007.6381,1104.0394,914.2051,888.417,595.776,412.4235,824.3033,377.3515,175.241,1000.388,6104.456,3859.7435,1956.261,1338.1553,864.8063,863.7615,842.8253,718.1864,669.1309,547.3837,1230.8251,24078.1364,169,882,6377,6099,3463,3502,3540,3266
