"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-07-25 17:",3579,8,31.8,0,2.8,56,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,594.2921,274.2885,1084.6678,3594.8071,2989.0427,1699.993,1607.2702,1288.9181,1207.7416,1035.6461,969.6011,681.0637,453.9742,876.7416,584.579,271.4767,1573.3498,5248.2453,3255.6551,1687.175,1348.9898,1085.468,1096.3036,934.0683,885.5524,758.1254,534.8627,1255.5492,752,3496,6377,6099,3463,3502,3540,3266
"2022-04-12 09:",3578,4,18.7,0,2.7,78,0,8,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.8129,245.6677,304.0023,441.251,700.3301,612.247,681.8075,595.3985,650.571,558.3271,557.3909,412.5979,310.7043,627.9769,498.0845,246.2435,411.9767,593.3067,734.2444,685.4969,831.934,667.1021,686.7826,732.837,698.3863,615.6277,406.6477,1106.6867,478,0,6377,6099,3463,3502,3540,3266
"2022-06-02 17:",3523,14,25.6,0,3.5,55,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,528.9879,244.148,1609.788,4669.8425,3125.0767,1715.7426,1647.9984,1231.4365,1203.8637,1120.196,970.1932,706.4517,498.4039,941.6574,508.5225,236.1559,1941.9974,6321.9766,3337.5665,1817.7297,1574.1362,1102.0011,1108.1972,974.4626,955.0015,774.3968,580.3503,1347.099,681,3862,6377,6099,3463,3502,3540,3266
"2022-10-18 12:",590,5,12.2,0,3.3,42,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,561.9029,259.339,1269.2708,4642.9536,2917.2304,1736.5062,1415.5871,1141.001,1280.3173,1083.8074,1085.5986,728.4159,486.9466,934.8565,373.9188,173.6463,1579.0821,6287.7975,3142.7775,1778.1843,1571.2157,1266.2837,1258.8076,1071.2632,1067.0345,777.7755,606.3179,1357.9383,433,1936,6377,6099,3463,3502,3540,3266
"2022-07-22 19:",3886,4,26.5,0,2.8,75,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1231.2747,669.6807,1167.2321,1085.2822,1252.0613,1081.3663,1361.5847,1188.6117,1366.0434,1246.8785,1126.4059,863.0248,726.3644,989.2652,1388.6757,725.8434,1268.6363,1154.7132,1260.4545,1220.3301,1276.402,1351.6855,1530.8036,1239.8795,1278.7047,1102.3571,725.3704,1595.6136,660,1931,6377,6099,3463,3502,3540,3266
"2022-02-17 04:",3570,0,-9.6,0,3.1,48,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.0191,335.3197,663.7875,1078.4318,1674.9789,1606.6668,1391.6435,1289.586,1185.5262,946.2192,967.645,761.2773,477.4827,971.5223,714.1865,380.3963,625.3053,1397.5272,1982.6778,1691.3984,1462.9192,1238.103,1290.2495,1156.3632,1267.7584,968.1561,659.4496,1464.4432,30,0,6377,6099,3463,3502,3540,3266
"2022-04-07 14:",571,3,14.8,0,4.6,32,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,257.3474,107.7078,539.0457,1553.5492,1438.3142,972.6994,869.7433,721.4794,844.1972,669.5832,626.2941,409.3132,313.054,607.0502,260.792,127.774,630.6088,1854.7358,1178.7529,902.4203,887.0923,649.1645,679.2226,578.7646,627.076,504.0422,378.372,935.2542,390,0,6377,6099,3463,3502,3540,3266
"2022-06-19 06:",3578,1,22.3,0,0.8,86,0,9,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,732.4082,341.5431,414.1959,675.4491,1042.981,972.1273,1012.6698,789.3278,908.5879,728.6269,778.1362,538.8433,403.8502,789.1547,740.64,366.1588,436.5534,807.7485,1213.4078,1038.3932,1107.4495,822.4194,795.0147,842.7327,894.984,729.6364,585.1886,1468.3308,82,0,6377,6099,3463,3502,3540,3266
"2022-05-21 21:",3563,0,17.9,0,2.8,79,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1039.0009,565.1041,1129.1146,984.7842,1074.1794,1034.357,1143.1089,1238.8347,1286.2874,1233.8744,1146.3013,810.4446,670.6998,986.576,1528.1049,798.7212,1277.8958,1090.5209,1227.5539,1126.2764,1174.9429,1268.8592,1459.9066,1297.0618,1213.479,1063.8636,706.7175,1666.5617,376,1132,6377,6099,3463,3502,3540,3266
"2022-10-08 23:",3541,9,14.6,0,2.7,72,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,505.6559,212.1769,554.2707,1531.3081,1241.0704,895.2862,1177.2062,930.8431,947.0043,994.2648,1068.5019,749.5675,549.4215,833.1949,548.4681,268.2127,667.9609,1904.8183,1420.5637,1018.7196,1059.1236,919.5673,709.4664,914.1065,988.1631,860.6822,557.6822,1325.1812,252,443,6377,6099,3463,3502,3540,3266
