"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-06-26 14:",3500,8,27.6,0,1.7,80,0,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,574.9804,202.2658,219.4629,464.4498,694.2477,764.0215,708.0418,645.2558,559.6389,576.9496,634.3057,446.019,345.7864,571.6893,518.3248,204.0465,267.5067,543.5231,774.6315,758.5516,613.5323,482.9785,531.6672,508.751,550.3821,564.5412,401.2682,869.7977,199,0,6377,6099,3463,3502,3540,3266
"2022-03-25 00:",3500,3,8.6,0,1,74,0,9,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.7347,227.8593,252.8756,498.3199,839.9562,851.6657,772.5616,665.3345,577.3511,573.176,609.2211,455.7577,316.0753,587.8411,475.8933,187.3428,277.7247,675.3315,1024.9873,1007.7505,854.2269,562.0143,622.4683,552.3969,631.0575,612.1015,393.0626,892.6905,64,0,6377,6099,3463,3502,3540,3266
"2022-06-19 13:",3500,12,24.2,0,2,77,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,591.5746,208.1031,261.7967,513.4795,654.6457,717.0064,668.8622,615.9,626.7531,530.8739,533.3892,412.1569,323.3909,549.1729,413.5569,162.8032,249.209,573.43,814.4139,700.282,653.7438,475.8798,493.9609,475.8022,492.7567,494.3646,348.7062,915.5882,247,0,6377,6099,3463,3502,3540,3266
"2022-08-07 21:",3500,1,29.2,0,4,78,0,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,523.2641,184.0731,249.8539,471.3587,729.2643,850.2576,787.5543,608.5189,580.7923,492.4856,635.2675,460.0723,334.4974,563.2263,500.4322,197.0026,246.6377,562.1175,914.9944,868.3625,792.52,560.6115,533.0182,500.6002,576.2537,588.1471,406.6489,871.1871,149,0,6377,6099,3463,3502,3540,3266
"2022-11-24 15:",3500,0,13.6,0,1.5,56,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,246.7239,86.792,140.7266,343.8958,568.8995,556.5594,592.0763,555.6995,617.656,562.3877,583.1335,481.6909,339.725,583.3193,270.453,106.4679,116.5953,320.2124,537.593,528.3679,511.8361,537.1166,533.4855,574.1553,609.1856,509.9145,383.1835,843.3515,193,0,6377,6099,3463,3502,3540,3266
"2022-12-06 20:",3500,2,2.9,0,2.7,59,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,573.0208,201.5763,213.0288,391.9766,735.7301,733.5156,868.2341,605.9487,599.1047,589.4648,657.8872,487.2205,356.3677,639.7547,308.252,121.348,215.2938,513.5362,865.225,743.1812,747.2002,606.7561,551.5271,585.3675,622.1932,610.6075,403.3489,854.3702,138,0,6377,6099,3463,3502,3540,3266
"2022-03-04 06:",3500,0,1,0,2.3,61,0,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.3672,222.8049,260.1417,481.1952,773.8009,812.9856,806.4387,675.6275,618.0478,526.3385,559.259,457.6673,309.865,581.9074,448.8568,176.6994,267.0273,630.7609,989.8046,930.3656,833.5532,576.9878,563.285,547.2961,595.8993,580.6047,373.6837,839.9498,164,0,6377,6099,3463,3502,3540,3266
"2022-09-14 20:",3500,11,23.8,0,6.1,55,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,471.9024,166.0049,220.3891,371.4773,666.102,685.4494,744.7977,649.6244,611.7137,587.1429,652.5731,466.82,351.5221,594.6811,400.491,157.6594,224.3746,546.67,845.994,754.8528,694.3105,543.5411,513.0398,493.4672,661.0442,570.7996,412.7755,848.5825,157,0,6377,6099,3463,3502,3540,3266
"2022-05-25 03:",3500,1,17.7,0,1,69,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.3862,194.6692,291.4621,521.8267,778.9519,860.9936,826.1957,718.9547,583.2559,505.4462,618.4192,441.6214,359.0122,543.3789,405.0633,159.4596,280.5997,680.235,1027.5083,936.1603,814.1072,593.9995,560.2397,568.2751,614.7185,636.3727,393.6051,925.6764,10,0,6377,6099,3463,3502,3540,3266
"2022-03-25 08:",3500,11,7.8,0,2.3,78,0,9,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.5355,143.7138,144.6843,483.7859,706.3992,665.1217,737.0701,634.5103,577.2882,496.7775,643.7712,486.1858,312.8777,591.8209,299.3459,117.8422,200.9291,614.2105,825.2485,806.7591,769.6092,521.2669,595.8342,570.4588,665.2032,557.4759,383.3861,919.6329,456,0,6377,6099,3463,3502,3540,3266
"2022-10-24 14:",3500,2,14.5,0,2.9,31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,291.4901,102.54,125.816,328.0036,545.7762,541.9487,635.3982,584.9953,644.5291,534.2489,600.0363,439.6263,316.301,571.0305,321.7344,126.6556,99.4787,375.0818,557.7212,597.9206,489.161,532.0666,484.4197,604.772,566.9446,560.9102,330.7467,819.9735,191,0,6377,6099,3463,3502,3540,3266
"2022-02-25 08:",3500,2,-3.3,0,2.8,89,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718.0998,252.612,259.1268,480.8121,731.3567,704.6909,740.2075,714.9652,642.0288,549.0727,644.152,472.7291,338.6942,607.6051,477.5008,187.9755,254.9384,600.4663,902.0461,808.4508,758.7915,548.7227,547.6301,576.136,560.3594,583.1178,376.9573,868.5839,453,0,6377,6099,3463,3502,3540,3266
"2022-07-10 06:",3500,0,24.6,0,0.9,88,0,8,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,643.4249,226.3431,272.2443,498.4731,793.7004,846.7249,741.4996,652.2312,563.8807,517.2493,653.8547,425.1514,318.6294,567.9817,533.6884,210.0945,255.1147,605.1652,997.4684,901.6713,776.8702,541.4047,576.7678,497.2008,559.4551,605.6031,389.9803,894.5575,69,0,6377,6099,3463,3502,3540,3266
"2022-06-18 09:",3500,2,23.6,0,2.1,77,0,9,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,555.7185,195.4899,277.619,491.4245,715.6401,748.3576,736.4897,640.6816,615.3533,477.4713,667.6837,414.2701,372.1942,554.5853,404.0556,159.0623,316.253,650.2396,918.1381,777.1385,682.6979,514.5663,562.678,509.8101,603.7278,546.4027,333.9098,901.4187,236,0,6377,6099,3463,3502,3540,3266
"2022-03-17 19:",3500,1,13.1,0,2.7,67,0,10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,430.1109,151.3034,211.2539,403.7307,736.4819,714.8797,792.0397,713.0281,568.9196,602.2421,599.8105,451.2962,337.4202,650.604,296.8447,116.8572,168.4947,602.9518,904.234,852.1042,820.8447,530.959,627.4064,571.6901,665.0757,579.4084,407.8037,871.8451,245,0,6377,6099,3463,3502,3540,3266
"2022-04-21 23:",3500,5,15.9,0,2.7,59,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,583.3576,205.2125,239.1918,486.9643,753.8411,795.9805,793.5801,682.3685,542.045,547.1508,595.5477,473.1113,341.7371,586.6072,460.7317,181.374,261.6978,669.4006,1038.4005,942.6383,792.9877,549.8228,574.975,534.1835,624.2153,577.4508,404.4773,878.9839,87,0,6377,6099,3463,3502,3540,3266
"2022-05-24 16:",3500,4,29.7,0,2.8,31,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,354.1089,124.5679,143.9755,369.9341,558.6225,580.0001,688.4937,577.0855,640.5968,592.0523,646.374,466.2216,338.8876,657.6493,270.0311,106.3019,153.5766,436.6992,601.8575,554.966,552.4831,511.1523,504.6494,530.1738,691.7764,549.7978,375.3491,969.7226,201,0,6377,6099,3463,3502,3540,3266
"2022-03-26 10:",3500,0,9.5,0,3.4,98,0,10,6.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,632.9646,222.6632,239.0039,517.432,751.3466,767.3842,764.4913,617.1015,606.6531,549.2139,605.9835,489.7875,328.6178,589.3369,420.5664,165.5626,232.0265,601.2686,810.2237,810.293,728.7474,511.4831,613.0011,486.4945,607.2868,545.1737,390.1877,897.5921,209,0,6377,6099,3463,3502,3540,3266
