"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-23 17:",3508,2,19.3,0,4.1,54,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,447.7031,206.6318,1303.6517,4383.6059,3165.3348,1840.07,1699.843,1179.4958,1268.708,1155.0644,1053.2548,713.1572,493.2252,875.3995,480.3935,223.093,1783.22,6190.6269,3311.413,1832.3693,1550.4567,1069.7659,1179.3962,1027.7319,926.1189,842.7952,585.7301,1177.916,883,4354,6377,6099,3463,3502,3540,3266
"2022-06-15 02:",3508,0,16.5,1.2,1.3,85,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.5566,215.7949,947.0593,4111.0551,3861.1064,1942.6844,1395.7813,997.2281,976.0914,830.3705,775.5183,597.5927,454.0922,762.5277,401.4272,186.4218,1371.2962,6657.64,4128.5117,1988.7915,1330.4312,750.274,775.9322,757.1726,656.5656,667.2546,516.0796,1260.9403,44,0,6377,6099,3463,3502,3540,3266
"2022-02-26 03:",3508,0,4.8,0,1.7,87,0,8,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,417.9225,192.8868,579.5786,3210.9942,3574.1642,1891.8945,1241.3205,942.9838,956.3482,741.3354,719.7096,543.5058,368.2695,828.292,345.7879,160.5831,850.7552,5177.9027,3695.52,1884.8784,1209.9106,785.8348,744.5846,733.9145,662.8848,610.4937,543.4827,1269.713,13,0,6377,6099,3463,3502,3540,3266
"2022-01-25 18:",3508,3,3.8,0,4.5,68,0,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,466.9907,215.5337,1534.5418,4102.1777,3543.9906,2071.7132,1760.8831,1259.8491,1363.7846,1115.1386,1016.0674,723.712,489.1888,915.1583,463.7181,215.3491,2212.525,5948.0392,4144.5291,2126.621,1603.8722,1137.5705,1027.6343,971.7442,951.3065,779.7125,550.5538,1321.9867,888,4082,6377,6099,3463,3502,3540,3266
"2022-09-07 04:",3508,2,19.9,0,0.7,92,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.096,188.8135,763.7972,3798.3016,3801.0202,1866.8839,1376.933,975.4181,1013.065,837.6274,818.1504,540.1026,416.8409,797.6676,397.8769,184.7727,1237.403,6333.607,4071.6456,1934.3734,1353.4099,782.0334,756.2918,753.5391,592.026,664.6323,538.4035,1174.3095,38,10,6377,6099,3463,3502,3540,3266
"2022-09-26 09:",3508,2,17.7,0,1.9,73,0,8,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.0899,233.5797,1204.2168,4054.0493,2989.8658,1634.3272,1405.4618,1116.1063,1343.4927,1143.9544,1093.3157,722.2082,502.3917,987.2562,355.3186,165.0087,1310.6319,5732.3682,3167.533,1698.2766,1471.0901,1066.9867,1133.9179,986.8306,872.611,825.1611,597.9981,1454.5367,589,3068,6377,6099,3463,3502,3540,3266
"2022-04-13 16:",3508,1,12.3,0,7.4,57,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,537.3559,248.0096,1712.4994,4269.2775,3028.3156,1784.5878,1547.6155,1300.101,1304.3286,1172.1938,990.5646,668.7077,528.9158,956.2208,397.5231,184.6086,1958.333,5818.0969,3308.0359,1774.4475,1455.3362,1161.5236,1092.4227,1001.9665,1013.7984,810.8143,568.2283,1222.3453,595,2614,6377,6099,3463,3502,3540,3266
"2022-04-24 09:",3508,0,16.1,0,1,88,0,10,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,442.1232,204.0565,857.1799,3514.1143,3467.0656,1825.4407,1427.6217,945.4821,1071.9245,792.4353,784.5813,535.1183,384.986,793.0272,335.4315,155.7733,1070.2856,5211.8065,3495.7144,1674.5705,1208.3696,797.3164,760.413,773.5057,706.1641,627.8743,550.3921,1155.7947,226,1285,6377,6099,3463,3502,3540,3266
"2022-04-22 19:",3508,3,14.5,0,3.2,89,0,10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,507.0394,234.0179,2148.6436,5327.4188,4401.6474,2451.511,1952.9037,1294.6496,1336.8028,1025.4408,970.1204,712.5035,524.3773,940.8293,490.9817,228.0106,2345.2735,7530.0869,4921.1553,2369.3722,1535.3535,1065.5925,1066.5391,989.7025,995.9287,808.8382,616.5959,1304.8852,747,3217,6377,6099,3463,3502,3540,3266
"2022-06-30 06:",3508,0,22.5,20.8,2.5,100,0,10,70.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.1759,216.0808,638.9161,3418.391,3551.9121,1938.0207,1375.3701,897.763,1053.7584,786.4343,768.0476,588.7105,430.1624,863.6169,386.3284,179.4095,916.7686,5561.7912,3852.4129,1963.3446,1340.168,833.0939,785.9423,777.6696,707.9852,662.7587,555.4114,1229.8479,213,957,6377,6099,3463,3502,3540,3266
"2022-07-04 20:",3508,0,29.9,0,2.6,73,0,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,525.0368,242.3244,1158.3793,4705.6201,4006.3333,2108.3034,1687.155,1201.1071,1254.3305,1155.6586,914.7361,670.623,468.2116,861.6355,407.3647,189.1789,1838.0638,6595.5162,4250.8163,2176.28,1429.3567,907.0023,875.5421,934.4889,926.6231,748.1822,586.2265,1361.7514,693,2846,6377,6099,3463,3502,3540,3266
"2022-07-11 17:",3508,1,27.5,7,3.1,85,0,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,516.6638,238.4597,1100.6497,3866.624,3089.8538,1754.0173,1647.8337,1209.3156,1198.4973,1150.9425,1097.5564,707.6516,518.9645,934.0356,507.2958,235.5865,1563.949,5385.4915,3186.9086,1699.4528,1391.9863,1025.164,1096.039,1045.25,980.7823,740.8204,565.8812,1346.3949,760,3568,6377,6099,3463,3502,3540,3266
"2022-12-16 14:",3508,1,-2.7,0,2.7,39,1.9,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,623.3813,287.7138,1404.2987,4035.4459,2950.8958,1737.3618,1633.1904,1207.4353,1311.9075,1060.1478,1069.6577,715.249,560.8594,944.3903,556.6178,258.4914,1821.6747,6155.8275,3124.0905,1773.3537,1552.3629,1318.6694,1324.366,1166.0101,1194.9847,788.5381,656.5117,1387.6674,577,2705,6377,6099,3463,3502,3540,3266
"2022-11-11 20:",3508,0,16.3,0,0.8,59,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,442.8921,204.4111,1535.3674,5645.5974,4685.9457,2478.5715,1818.7296,1293.6809,1264.9449,994.2976,985.1879,683.7407,455.9107,844.7478,490.6118,227.8386,2120.7423,7919.3068,4883.1876,2436.363,1719.2653,991.1498,1134.0671,884.1946,872.1833,788.7836,598.785,1295.3783,691,3244,6377,6099,3463,3502,3540,3266
"2022-12-25 02:",3508,0,-9,0,1.2,69,1.6,6,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,308.6965,142.4752,882.4266,4602.3669,4266.6488,2072.421,1506.2546,972.9006,1070.613,800.8215,861.0878,502.828,428.2247,740.9167,438.5057,203.6407,1126.9452,6231.2405,4036.4567,1939.0383,1281.9142,741.4876,823.8549,762.8402,694.9928,571.4538,471.3364,1133.5294,55,0,6377,6099,3463,3502,3540,3266
"2022-04-11 14:",3508,1,25.8,0,3.1,37,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,597.7553,275.8865,1863.7259,4610.4609,3039.8895,1848.8033,1577.2689,1288.3939,1389.0432,1166.7395,1035.2522,690.4072,500.0588,982.4521,403.9855,187.6099,1987.6094,5883.5415,3202.5719,1811.8848,1512.7208,1136.8706,1201.3866,1133.358,1133.761,837.3277,679.911,1314.7032,477,2183,6377,6099,3463,3502,3540,3266
"2022-08-19 20:",3508,1,27,2.5,2.9,96,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,437.055,201.7176,1117.122,4743.6248,4349.2443,2316.3731,1718.0979,1262.0226,1199.3242,927.435,969.7962,664.9199,445.8091,865.6952,485.7636,225.5874,1611.8214,6721.4768,4403.6097,2264.4536,1503.1457,995.2363,973.6712,887.6789,825.5094,736.059,535.5044,1322.491,603,2805,6377,6099,3463,3502,3540,3266
"2022-01-17 19:",3508,1,-4.1,0,3.8,67,0.8,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,454.4959,209.7672,1919.4662,4208.1193,4018.9521,2125.9184,1704.8359,1266.4892,1281.8867,1007.6245,914.4431,736.5126,501.6369,882.2599,579.3617,269.054,2088.3681,6253.2797,4170.4705,2165.0062,1476.2712,970.5485,1030.7643,986.8923,956.3353,809.0207,666.3417,1327.172,700,2874,6377,6099,3463,3502,3540,3266
"2022-11-09 23:",3508,2,11.3,0,0.5,81,0,8,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,426.0576,196.6421,996.0493,4372.5941,3947.9553,1939.9182,1477.5212,960.0242,1049.6119,827.2697,857.2645,551.3384,376.1115,777.5532,339.6836,157.7482,1202.2259,6630.7017,4167.0559,1920.9349,1244.4904,725.9152,818.4547,745.3641,691.1916,632.3245,507.1666,1237.7868,424,1640,6377,6099,3463,3502,3540,3266
"2022-11-03 04:",3508,1,7.9,0,0.9,65,0,6,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.7212,179.871,757.0639,3930.8317,3776.7179,1923.8198,1316.8405,958.66,1070.8578,891.4771,733.1053,567.0652,430.5836,806.78,409.2145,190.0379,989.5535,6373.551,4142.0505,1910.9998,1329.8764,708.8209,879.4755,786.3311,713.7706,650.475,478.1898,1208.1104,56,8,6377,6099,3463,3502,3540,3266
"2022-02-04 02:",3508,0,-5.7,0,1.1,59,0,3,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.391,184.3337,417.9078,2711.5802,3337.404,1809.8901,1299.3296,875.2436,951.9097,737.4885,667.0342,522.6878,367.32,805.4418,363.3478,168.7374,659.8804,4514.2688,3636.0478,1829.63,1155.6133,735.1983,668.1309,695.4324,652.892,627.8279,501.2571,1163.7023,15,0,6377,6099,3463,3502,3540,3266
"2022-08-18 11:",3508,1,26.2,0,1.2,72,0,8,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,282.6418,130.4497,763.3452,3026.2369,2640.4843,1648.0387,1399.8549,1214.4147,1263.3566,1053.9811,1049.7276,666.333,503.9655,949.353,295.3814,137.1743,1021.3596,4509.3278,2854.9827,1674.1245,1469.6343,1101.7788,1123.9598,1085.1103,922.7106,751.8227,605.0721,1349.0466,374,1584,6377,6099,3463,3502,3540,3266
"2022-12-23 17:",3508,0,-10.5,0,4.4,60,1.7,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,430.2322,198.5686,1317.3137,3965.8904,3336.48,1914.0588,1636.9985,1239.3319,1327.4326,1059.9034,1076.6961,635.7515,502.4312,831.4027,457.2422,212.3417,1863.4377,5851.9135,3402.2845,1860.6929,1529.7768,1054.4892,1198.8144,1005.0784,1079.7781,740.9895,610.0878,1339.8487,913,4562,6377,6099,3463,3502,3540,3266
"2022-01-20 00:",3508,0,-7.7,0,2.5,77,2.4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.2041,203.6323,552.8596,2885.5244,3524.6027,1911.4983,1248.1436,925.9747,987.2697,717.4918,719.6043,541.5012,404.5106,801.5794,321.7147,149.4034,718.979,5222.6332,3738.9514,2003.4706,1228.5398,827.2696,772.503,741.1942,661.8132,618.0714,517.4145,1182.7776,84,0,6377,6099,3463,3502,3540,3266
"2022-10-04 07:",3508,5,18.4,0,4,96,0,10,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.3669,203.2459,874.8057,3594.7981,3436.3804,1892.7295,1416.5204,1035.0187,1191.8104,1015.696,870.4158,657.1533,416.8715,848.304,409.7063,190.2666,1101.2463,5978.2147,3760.2822,1984.6332,1415.3799,920.4,911.1491,906.985,781.3112,699.3129,537.0572,1161.6608,518,2878,6377,6099,3463,3502,3540,3266
"2022-02-26 05:",3508,0,4.4,0,3.3,88,0,8,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412.3732,190.3258,584.5957,3247.723,3536.1952,1880.0284,1268.6011,924.8106,1002.0474,741.6316,728.5998,561.413,345.6253,821.0551,349.7877,162.4402,827.6653,5095.2016,3734.9677,1857.9696,1214.7713,785.4099,717.8252,733.3385,662.519,608.3085,518.6282,1256.576,61,414,6377,6099,3463,3502,3540,3266
"2022-09-17 19:",3508,1,27.3,0,2.2,75,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,585.1057,270.0482,1796.2924,5783.9587,4773.2952,2575.9272,1695.7189,1248.8394,1331.0906,1047.7475,994.8649,645.4071,518.9632,856.0702,694.1666,322.369,2158.7842,7599.3815,4851.6732,2288.6092,1475.8399,942.5594,1075.3398,941.0307,927.2096,759.9374,582.071,1170.1001,647,3289,6377,6099,3463,3502,3540,3266
"2022-07-31 15:",3508,0,27,3,2.9,91,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,762.028,351.7044,966.8523,3321.6775,3450.911,1973.2715,1559.1292,1039.6911,1048.6281,882.5573,825.635,522.0885,405.2767,799.5792,878.916,408.166,1552.6117,4942.7546,3543.1965,1885.5041,1355.9748,961.0302,960.0919,858.8323,768.028,711.6731,540.687,1244.4785,402,2008,6377,6099,3463,3502,3540,3266
"2022-07-28 03:",3508,2,26.2,0,1.7,71,0,2,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.6308,179.3677,646.2116,3380.1662,3664.2079,1913.2375,1289.1844,945.6586,917.7913,805.5905,723.9323,530.578,421.5766,783.4548,418.2298,194.2248,892.0828,5635.5678,4006.3453,1848.1972,1275.5385,725.3911,730.7007,763.9929,660.925,643.8652,485.6634,1148.5003,35,0,6377,6099,3463,3502,3540,3266
"2022-10-25 19:",3508,1,13.1,0,2.1,50,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,463.7428,214.0351,1446.4422,5261.4805,4004.7987,2253.217,1762.4933,1310.295,1375.4612,1218.5605,967.3664,654.9765,456.1362,809.5932,527.9174,245.1631,1907.9343,7194.7576,4366.5788,2366.6851,1598.1421,1097.0297,1109.0784,1059.0375,944.8503,720.7306,624.6954,1313.8803,860,2983,6377,6099,3463,3502,3540,3266
