"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-04 23:",3582,6,16.8,0,2.7,43,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,470.6767,217.2351,1631.0788,5356.82,4957.5862,2320.0479,1595.8468,1045.3818,1064.7436,825.9168,849.5012,549.3125,456.1372,820.4678,447.7628,207.9397,1794.5784,7373.5343,4549.5105,2127.5049,1423.4885,820.8481,828.564,836.8522,702.3034,654.771,555.7468,1129.6223,639,2489,6377,6099,3463,3502,3540,3266
"2022-05-28 14:",546,5,28.7,0,5.1,40,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,590.2791,359.9902,632.2001,949.1085,1083.6509,1032.3864,977.8812,884.36,956.1377,817.3148,837.8524,638.9192,431.515,784.0242,572.1979,330.978,648.163,1158.4646,1320.2129,970.1709,986.8629,867.9568,845.212,808.0532,918.5682,828.3691,653.2323,1418.5569,353,0,6377,6099,3463,3502,3540,3266
"2022-02-11 10:",553,0,0.9,0,1.4,70,0,0,88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.2709,265.1787,285.9892,426.8785,514.68,501.679,611.3403,545.6031,482.1114,491.1392,561.9911,455.4116,253.2995,678.2908,564.8707,274.1119,287.7462,437.2848,451.2463,562.1355,533.0232,510.5722,620.5764,602.0038,639.9937,500.7967,440.5656,1089.3194,266,458,6377,6099,3463,3502,3540,3266
"2022-05-10 17:",591,2,25.2,0,2.3,20,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,577.5412,266.557,1686.7563,4727.8689,3258.9905,1761.928,1753.5214,1384.3187,1409.6536,1245.4451,1104.1953,670.6303,563.8068,971.8924,550.6009,255.6974,2362.3242,6560.5749,3349.6882,1785.7013,1447.0779,1029.4529,1200.4881,1097.4203,988.9033,791.8754,590.6597,1237.6815,662,3906,6377,6099,3463,3502,3540,3266
"2022-04-13 15:",3533,10,12.2,0,5.7,55,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1029.8317,531.5973,680.589,800.532,765.1116,621.75,826.5394,705.0021,765.4219,650.0145,594.5784,471.5085,366.935,785.3783,898.6689,477.6773,591.4112,900.1638,829.1892,716.3759,957.8139,967.7952,957.2519,870.3292,983.7908,785.8941,590.8716,1309.3516,361,0,6377,6099,3463,3502,3540,3266
"2022-08-07 22:",553,3,28.9,0,3.9,81,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,521.7028,257.975,297.6924,468.0321,647.7657,724.9279,742.1476,622.1842,598.0107,642.5831,693.3901,486.6651,358.888,789.2573,486.4104,236.0381,327.2087,479.3652,691.4943,780.3371,709.1323,499.1749,716.2908,688.379,774.9158,603.6583,480.3333,1161.7585,106,121,6377,6099,3463,3502,3540,3266
"2022-06-18 05:",3510,0,22.2,0,1.2,84,0,6,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,640.6978,312.829,574.9385,772.8481,1045.2034,959.3339,1139.2824,881.6036,1001.6663,918.5335,1154.9326,870.4839,601.2707,1269.3951,800.4911,371.2061,558.3516,819.2216,1074.0068,1121.1926,1120.353,924.5499,1110.1278,1091.4419,1316.6809,1213.011,880.6152,2011.075,21,0,6377,6099,3463,3502,3540,3266
"2022-06-03 14:",552,2,31.2,0,1.5,35,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,655.1018,356.3047,599.5271,1040.2549,1120.1742,1109.0538,1492.9151,1307.7518,1417.5509,1233.8259,1109.3224,855.2103,579.1967,1184.2094,1006.5327,526.102,536.9319,1082.5225,1230.2088,1249.4764,1401.8973,1323.8993,1669.8816,1303.4178,1251.2643,1066.9841,809.9346,1675.9744,342,1589,6377,6099,3463,3502,3540,3266
"2022-11-16 06:",573,1,5.6,0,1.8,97,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.2863,128.4288,200.9614,568.5269,759.3201,756.2644,743.5719,525.957,454.5415,462.9385,360.513,301.935,205.9397,448.2912,369.9456,132.2706,305.1728,771.1787,985.3324,966.955,832.6299,514.0204,443.3334,423.5056,440.1526,358.0815,330.9294,750.9614,240,1335,6377,6099,3463,3502,3540,3266
"2022-02-04 18:",549,5,-3.4,0,4.1,45,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,626.4093,346.2909,501.4774,550.6696,580.6407,660.3898,669.5327,665.2764,718.8579,653.1092,725.1497,557.1317,449.9283,867.7736,900.4018,522.7181,524.8497,621.8314,660.7657,632.1771,767.2998,829.0949,942.414,788.0717,914.4506,817.1499,658.731,1472.3482,554,949,6377,6099,3463,3502,3540,3266
