"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-06-15 15:",3500,3,18.3,1.4,2.5,93,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,437.6633,153.96,148.5483,343.9601,571.5561,552.6862,623.6862,564.8875,600.2502,583.2225,638.2938,432.2462,353.028,548.9825,258.5176,101.7693,147.4705,417.3823,626.2556,579.2702,503.2653,461.7576,543.3117,577.0304,604.6903,501.8786,356.043,834.6443,172,0,6377,6099,3463,3502,3540,3266
"2022-02-19 15:",3500,4,2.4,0,4.9,38,0,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,629.1193,221.3108,171.4329,445.1788,674.5718,750.4204,704.3203,561.7143,546.3579,489.9198,641.0478,407.6472,376.9938,618.4346,404.801,159.3561,197.8711,486.5062,793.7653,724.2526,704.7114,525.3075,544.7611,475.3797,645.165,498.0617,378.0438,876.978,201,0,6377,6099,3463,3502,3540,3266
"2022-12-23 21:",3500,1,-11.6,0,2.2,63,1.7,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,589.8879,207.5099,219.0421,447.6467,649.393,780.7036,831.8598,643.41,606.3134,650.9521,624.9115,460.8333,343.5536,628.1993,371.3849,146.2013,213.109,577.0321,847.8564,771.7328,810.0539,588.5589,559.7626,546.4557,595.4165,575.4745,383.9295,882.5367,182,0,6377,6099,3463,3502,3540,3266
"2022-08-30 02:",3500,0,19.9,0.1,2,80,0,10,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.379,188.3347,272.6641,445.8,744.0952,820.5621,734.0549,695.3084,582.3592,499.4825,595.7247,467.1376,341.2354,583.0497,424.5059,167.113,214.7673,569.9609,972.7975,851.0832,824.6637,595.2912,580.1604,543.1343,569.1334,612.9262,418.3443,884.2293,9,0,6377,6099,3463,3502,3540,3266
"2022-12-11 13:",3500,6,5.5,0,1.9,39,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,696.1212,244.8802,262.5541,455.9052,764.4297,726.3575,700.6945,567.5552,569.2927,553.6487,593.3217,411.9245,284.9681,589.0327,504.7381,198.6978,259.3191,554.7786,805.1117,723.3755,694.0051,562.3072,534.1711,480.1869,581.8037,533.4483,409.27,867.705,244,0,6377,6099,3463,3502,3540,3266
"2022-02-14 02:",3500,0,1.4,0,1.5,65,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.6388,247.5247,222.8601,527.8792,875.8049,835.4445,778.7173,676.5185,567.9008,537.7684,562.3277,446.6919,316.3803,629.7972,493.8087,194.3953,256.6857,702.2468,1026.078,955.5785,823.2184,561.3688,625.8789,540.4381,598.9413,610.1082,427.0113,901.4307,3,0,6377,6099,3463,3502,3540,3266
"2022-04-11 22:",3500,10,18.6,0,3.1,75,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,542.7239,190.9184,182.4367,492.2923,759.7606,832.9314,744.2772,686.3758,596.3734,591.4196,619.6719,426.0887,308.4889,551.7758,336.0215,132.28,241.5957,620.1281,944.343,888.0254,843.2664,511.3188,589.7472,494.0691,679.1143,590.6835,390.7708,939.6509,108,0,6377,6099,3463,3502,3540,3266
"2022-03-18 06:",3500,0,7.2,0,5,66,0,9,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.1587,209.0121,234.4097,514.7937,771.1105,794.099,810.0616,705.4943,558.0381,548.9252,568.232,458.8973,339.177,601.348,475.939,187.3607,281.6171,687.4425,1025.6893,947.1683,833.2435,557.6915,613.4533,538.7212,603.7072,593.568,375.5923,871.7224,178,0,6377,6099,3463,3502,3540,3266
"2022-01-30 15:",3500,2,2.2,0,3.3,28,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,581.1861,204.4486,298.3429,380.1698,602.922,621.8742,718.8687,594.3697,572.9436,517.3976,652.0178,446.3131,395.9537,638.1897,564.5529,222.2446,280.3675,423.62,627.549,598.2736,618.8529,471.8888,554.6149,505.9111,581.8146,584.0428,452.9454,955.2281,186,0,6377,6099,3463,3502,3540,3266
"2022-06-19 11:",3500,5,23.6,0,1.8,80,0,9,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,633.8669,222.9806,258.9484,491.8964,703.932,731.6802,657.506,667.2799,614.5066,529.0123,518.693,411.6338,338.8974,597.6881,474.6501,186.8534,286.1,602.7399,856.3336,755.7713,746.3684,472.837,555.7988,448.1542,535.1846,481.5042,335.7251,850.3091,203,0,6377,6099,3463,3502,3540,3266
