"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-06-14 17:",3508,3,23.4,0,4,52,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,506.1103,233.5894,1438.0202,4554.7594,3192.4364,1782.595,1641.359,1244.999,1320.9314,1237.0672,1027.9128,770.7947,505.8114,943.8124,464.0709,215.5133,2002.4697,6566.8745,3481.6375,1798.3167,1434.0292,1071.6626,1114.8721,1062.2201,986.8737,811.1342,558.3011,1446.558,677,3585,6377,6099,3463,3502,3540,3266
"2022-11-29 19:",3508,0,3.1,0,3.5,49,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,507.69,234.3182,1451.2626,5079.6173,4007.6652,2149.3276,1907.7413,1318.6964,1265.3353,1008.5161,1062.8528,664.8581,478.9471,909.9888,478.6415,222.2792,1848.0939,7523.8165,4380.6747,2339.9267,1503.1059,1090.5736,1085.1808,938.531,854.6909,750.5289,589.8988,1244.0126,895,2908,6377,6099,3463,3502,3540,3266
"2022-04-01 09:",3508,0,8.5,0,2.7,60,0,3,34.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.48,283.6059,1120.7175,3501.8228,2899.8636,1761.8549,1430.3225,1121.0577,1252.76,1067.1869,976.1283,601.0741,555.1184,981.5905,421.9199,195.9384,1224.236,5141.1092,3092.3002,1657.0142,1384.9523,962.9369,1001.0338,995.8691,914.7952,717.7846,581.2537,1419.0188,570,2611,6377,6099,3463,3502,3540,3266
"2022-04-30 09:",3508,0,13.3,0,1.4,64,0,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,476.3898,219.8715,827.6506,3500.6013,3462.0316,1896.026,1484.0351,984.7842,1087.7961,871.4429,822.7238,584.835,477.7775,817.6233,496.0251,230.3526,1096.081,5131.8864,3442.8693,1831.5696,1338.6485,985.8042,828.8043,802.9868,754.3494,655.8017,574.6276,1245.7994,377,1863,6377,6099,3463,3502,3540,3266
"2022-02-11 14:",3508,1,7.5,0,3.3,39,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,614.3121,283.5279,855.3058,3134.7414,2871.3281,1773.3533,1491.1208,1248.226,1270.999,1111.8127,1071.1102,759.2361,478.5812,994.2152,596.7127,277.1118,1396.922,4699.9531,3110.2278,1817.2009,1454.902,1050.6154,1155.7428,958.3938,1006.6378,778.4159,620.723,1335.2594,437,1794,6377,6099,3463,3502,3540,3266
"2022-08-14 10:",3508,0,26.9,0,1.4,86,0,8,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,439.2109,202.7125,605.4418,3014.4572,3177.2312,1751.4063,1372.9677,1018.9293,1014.2823,744.8233,741.4065,518.1861,400.7611,763.801,449.1711,208.5934,904.8409,4441.9651,3010.7921,1697.7099,1248.7169,836.2394,848.2673,808.4619,742.8574,647.5151,556.0289,1205.1559,300,1159,6377,6099,3463,3502,3540,3266
"2022-01-26 15:",3508,0,6.5,0,2.6,40,0,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,450.306,207.8329,923.1452,3110.3473,2806.3601,1721.4317,1500.6275,1229.8456,1290.5828,1108.2849,1069.2175,735.6521,562.8936,935.6878,418.7625,194.4721,1562.7803,4552.5502,3086.1855,1773.8661,1442.2198,1151.9692,1147.3349,960.483,1042.3264,806.209,589.0888,1320.0797,511,2185,6377,6099,3463,3502,3540,3266
"2022-05-03 16:",3508,1,20.7,0,3.4,27,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,479.0361,221.0935,1578.0214,4463.0364,2907.8666,1662.8335,1583.1142,1236.11,1357.123,1107.3251,1057.7918,756.5294,599.7403,951.4156,578.1945,268.512,2341.7414,6088.5921,3124.4247,1707.9109,1532.8991,1129.2097,1220.0848,1150.9899,1099.2343,841.9459,703.1827,1291.3408,642,2998,6377,6099,3463,3502,3540,3266
"2022-10-12 19:",3508,7,16.5,0,1.2,64,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,521.0617,240.4896,1428.91,5181.5568,4076.5802,2192.0124,1862.5109,1273.9819,1412.0351,1161.0897,939.9918,670.8443,435.6606,884.0174,571.0254,265.1826,1896.3754,7298.9713,4438.1498,2461.3618,1728.6141,1138.0181,1121.138,979.4428,873.9646,766.0683,583.9532,1315.712,874,3062,6377,6099,3463,3502,3540,3266
"2022-06-01 12:",3508,1,27.5,0,3.4,23,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1192.3412,550.3106,1288.0459,4198.1053,3611.698,1942.3317,1615.0465,1245.0502,1131.3318,970.0093,862.0763,646.7552,480.568,840.6425,989.0392,459.307,1847.6891,6023.1289,3886.7923,2208.4436,1659.647,1129.8272,1119.87,900.0108,862.8111,743.9396,603.5317,1325.1075,433,1866,6377,6099,3463,3502,3540,3266
"2022-04-05 03:",3508,0,5.6,0,1.3,52,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.5059,199.1561,878.4382,3655.5981,3724.9833,1896.0109,1278.1695,899.9176,996.4819,781.9754,690.7819,507.0091,459.6615,863.6488,357.4837,166.0142,1137.888,6052.9968,3896.0622,1945.3586,1274.5132,764.8747,794.4041,733.1049,641.1365,642.9872,541.9466,1195.7801,16,0,6377,6099,3463,3502,3540,3266
"2022-08-27 01:",3508,0,23.2,0,2.6,80,0,8,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,402.3358,185.6932,836.2322,4292.0034,4222.4787,2018.3389,1452.3208,941.3727,1005.6055,770.4861,811.7584,588.034,395.5039,807.5888,443.6203,206.0162,1175.134,6134.2425,4227.6489,1992.8824,1249.3854,799.0325,796.3003,743.4447,658.2201,675.607,519.0926,1159.2458,183,0,6377,6099,3463,3502,3540,3266
"2022-03-19 04:",3508,0,3.1,0,3.8,89,0,10,42.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,418.9749,193.3727,803.9134,3414.9353,3620.077,1924.0828,1353.7014,856.1606,922.6529,766.1623,777.5204,524.3136,399.5303,803.682,363.4713,168.795,1071.5887,5610.238,3792.3962,1842.9995,1278.4813,804.0631,757.8428,661.1683,646.5532,571.7278,517.0599,1181.6688,24,8,6377,6099,3463,3502,3540,3266
"2022-07-27 15:",3508,1,33,0,2.8,55,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,467.3133,215.6828,976.9847,3248.0273,2791.1333,1614.7441,1391.6137,1185.8271,1104.0626,1142.1712,974.5135,668.9221,490.6385,926.4807,650.9978,302.3217,1461.6525,4951.7714,3035.4538,1761.7991,1451.7856,1200.56,1280.1429,1053.5977,1031.5342,786.5335,629.9638,1320.1031,563,2237,6377,6099,3463,3502,3540,3266
"2022-10-30 08:",3508,1,10.9,0,2.7,82,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,401.0726,185.11,661.6751,3427.1207,3531.8364,1867.3781,1352.8133,984.5889,1005.423,799.5729,737.7496,516.0417,366.3252,733.6162,422.6395,196.2726,903.1054,5473.5834,3678.6055,1827.2312,1226.4158,769.3584,806.2383,782.7895,712.8094,623.1241,545.8768,1198.087,388,1795,6377,6099,3463,3502,3540,3266
"2022-03-18 10:",3508,0,8.4,0,4.7,59,0,10,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.2667,225.3535,1214.9825,3306.3131,2954.0428,1743.2113,1578.7606,1145.6908,1209.1798,1008.2322,979.6805,707.7556,520.0109,1034.0873,260.5816,121.0135,1335.1893,5130.286,3249.6196,1766.3077,1437.7707,1167.8491,1202.6315,942.8588,939.7461,754.1889,608.504,1396.7052,350,1476,6377,6099,3463,3502,3540,3266
"2022-02-04 06:",3508,0,-6.7,0,1.3,66,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.8212,190.9938,418.6961,2697.4607,3401.159,1781.3047,1324.4502,886.2651,1021.6976,772.1218,739.8401,579.357,392.3882,858.903,366.2968,170.1073,640.5269,4468.5992,3624.2964,1868.0923,1143.4111,745.8106,765.8434,753.6508,704.4355,661.4811,548.6079,1232.2613,156,731,6377,6099,3463,3502,3540,3266
"2022-10-26 01:",3508,1,8.8,0,2.4,70,0,0,27.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.2004,183.3227,870.6999,4054.2181,3910.7385,1967.5681,1336.0793,970.5294,986.9186,815.9782,725.9297,544.0151,364.3848,797.1371,376.5558,174.8712,1110.4735,6464.9091,4076.3192,1972.4285,1348.2826,726.3072,839.0769,759.3161,653.2593,639.126,525.4329,1199.1421,183,0,6377,6099,3463,3502,3540,3266
"2022-02-25 22:",3508,0,5.5,0,2.7,82,0,8,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,486.7316,224.6448,850.2026,3392.9334,3352.3363,1866.4271,1416.4492,1116.4862,1197.1434,848.9619,913.5889,671.5783,482.3032,883.2253,436.8389,202.8668,1251.2035,4999.1883,3572.865,1865.9704,1305.3029,1024.1834,963.2435,909.8176,910.5365,746.7469,572.6958,1347.1154,816,3742,6377,6099,3463,3502,3540,3266
"2022-10-03 13:",3508,0,22.6,2.5,2.7,100,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,623.356,287.7022,954.1145,4044.6006,3485.3494,2016.2824,1497.5077,997.7128,1141.2962,994.1528,935.5176,578.4162,483.5876,816.4682,956.4268,444.1614,1398.9542,5921.8082,3717.8663,1910.9934,1496.5883,982.71,1005.2744,957.76,897.6643,759.4858,552.993,1145.6171,377,1698,6377,6099,3463,3502,3540,3266
"2022-09-02 06:",3508,0,20.5,0,2.4,84,0,2,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.5884,200.117,805.0577,3752.2183,3684.4606,1902.564,1314.1764,938.3445,1034.6414,860.8066,792.8005,552.5701,366.7944,789.6532,386.0872,179.2979,1047.3536,6144.7895,3973.1831,1901.2365,1355.5118,808.2878,885.1426,798.6124,691.4296,679.2249,551.9259,1227.3127,259,1005,6377,6099,3463,3502,3540,3266
"2022-08-07 10:",3508,1,28.3,0,1.1,85,0,9,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,489.7781,226.0511,587.5994,2942.9768,3275.8108,1873.1173,1392.1445,1033.8394,1018.8746,800.4387,801.2468,538.8116,384.337,736.4765,478.5354,222.2303,937.9775,4616.7145,3292.1853,1717.9919,1319.7311,948.2658,852.6199,824.9297,729.3417,676.0976,538.3303,1144.4694,368,1578,6377,6099,3463,3502,3540,3266
