"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-06-13 06:",574,0,19.6,0,1.9,91,0,8,8,384.16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.6682,135.8896,227.5992,527.4419,798.905,858.2268,756.9901,542.1639,503.4935,485.2632,469.427,324.1278,225.4858,516.5341,347.7193,124.324,324.5157,830.2454,1026.4716,938.5341,786.7535,497.4747,457.8977,405.4584,538.9814,425.9843,330.0731,748.2137,6523.5684,219,1439,6377,6099,3463,3502,3540,3266
"2022-01-24 13:",3563,2,8.1,0,3.8,45,0,8,15,65.61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1199.5088,652.4028,950.4269,1093.3214,1099.9541,1099.5536,1389.2804,1243.1968,1352.8196,1227.3162,1171.1561,841.7301,535.4272,1016.1932,1475.396,771.1706,1222.1977,1055.6258,1199.5205,1212.6684,1392.7765,1301.6696,1475.7402,1266.6422,1178.3677,1100.0871,702.7763,1602.336,9542.7007,316,1529,6377,6099,3463,3502,3540,3266
"2022-07-24 00:",3882,0,22.3,1.1,2.8,96,0,10,10,497.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,895.4257,418.8927,464.187,578.8208,761.5398,874.1615,1002.8011,882.5987,894.2831,715.042,726.7982,638.1733,476.8424,1007.6234,705.7527,306.5597,474.7218,672.7426,922.532,954.3643,1076.9317,915.1713,875.806,760.0792,1031.411,808.136,643.9874,1364.6754,6843.8938,2,0,6377,6099,3463,3502,3540,3266
"2022-09-12 16:",3518,15,27.2,0,1.5,63,0,9,24,739.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,458.4194,191.8628,348.8083,1075.597,1270.0583,1098.5519,970.0972,668.7271,654.5336,645.41,635.2291,457.6053,332.6117,606.2857,305.2016,149.5326,409.9013,1281.9893,1239.2817,912.5411,835.6769,566.3012,540.0401,532.0473,544.3331,505.6112,391.4747,1018.8333,8683.7934,439,0,6377,6099,3463,3502,3540,3266
"2022-11-28 21:",3579,0,14,7,2.1,99,0,10,32,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,439.8678,203.016,1313.502,4684.2349,4137.4142,2071.3006,1567.2329,1140.9844,1152.4126,946.8636,862.5028,573.8059,430.2333,854.1059,463.0731,215.0496,1520.4886,6880.1677,4378.6361,2065.3883,1441.1175,803.1978,987.3934,842.8524,870.8492,701.5686,591.9538,1203.9874,27225.4922,714,2565,6377,6099,3463,3502,3540,3266
"2022-01-15 14:",542,0,0.9,0,1.9,43,0,9,64,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1292.7675,703.126,1143.2348,1072.2356,1304.4955,1229.1888,1522.3663,1340.6297,1358.1544,1360.6961,1240.3248,942.0814,554.7847,1157.4715,1453.7001,759.8302,1087.3465,1128.0658,1279.0935,1215.2569,1462.9303,1259.4077,1566.0691,1289.2747,1308.2263,1035.5902,633.9724,1391.6849,10213.6327,311,1955,6377,6099,3463,3502,3540,3266
"2022-08-23 06:",3881,3,22.4,0.9,1.8,96,0,10,12,501.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862.0058,403.2586,498.7267,647.7263,880.9533,958.5717,1079.2351,951.9778,959.8533,807.0878,782.7361,613.8939,468.252,986.568,781.417,339.4265,564.9938,702.9446,1096.9744,1026.3413,1233.1671,981.9914,964.4463,729.8594,973.5879,839.964,565.378,1381.2251,7625.9138,334,0,6377,6099,3463,3502,3540,3266
"2022-12-04 13:",3881,5,-2,0,2.7,27,0,9,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,985.7474,461.1467,447.7436,641.2195,756.6081,836.4016,883.5921,825.1303,944.2627,714.5637,609.8956,558.2116,432.7776,848.1018,818.5658,355.5629,493.8286,575.017,832.9634,863.4041,964.3898,857.9817,786.4041,687.1381,702.6064,647.4179,571.3503,1364.7604,6353.5956,378,0,6377,6099,3463,3502,3540,3266
"2022-02-09 16:",3882,1,6.1,0,2.9,30,0,7,41,37.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,777.913,363.919,454.1042,501.8134,617.0078,706.841,693.5094,670.4178,744.9559,634.5885,644.1782,559.0394,432.3184,832.1997,757.7717,329.1553,453.8897,519.2351,630.4502,699.9221,862.9529,709.0914,772.2653,628.5062,757.5021,680.9508,520.9345,1208.7562,5231.7319,282,0,6377,6099,3463,3502,3540,3266
"2022-07-05 08:",3518,16,27.1,0,2.2,79,0,10,20,734.41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.4937,146.2737,283.6579,1220.3224,1312.1108,972.4634,1007.2402,746.4414,705.1825,631.8477,620.9067,439.4848,339.8584,594.4437,291.1598,142.6527,323.2135,1615.694,1318.9405,937.4281,926.5357,687.9187,668.6005,558.8697,550.0799,480.6372,402.365,1037.023,9310.7351,1104,0,6377,6099,3463,3502,3540,3266
