"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-07-24 13:",593,6,27,0,1.7,80,0,10,18,729,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,797.3332,373.0039,464.8788,623.6088,703.0893,861.1239,845.8846,790.8511,797.5706,668.0656,676.2433,546.3729,400.0601,812.191,644.957,280.1516,388.3323,619.8671,888.9441,813.5473,909.6632,741.5397,786.8407,603.3786,771.7885,702.9749,534.5721,1235.2806,6265.7283,318,0,6377,6099,3463,3502,3540,3266
"2022-11-10 23:",590,1,12.6,0,1.2,78,0,4,66,158.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,374.0458,172.6365,952.8768,4624.9228,4051.0718,2025.7224,1463.4738,1023.9271,1103.0402,805.9659,782.3571,552.3228,382.8294,791.477,338.2168,157.0669,1131.8429,6840.1682,4190.0384,1966.2477,1324.3505,680.7579,814.3717,750.5233,671.344,632.9511,514.4975,1188.5609,26485.9956,466,1836,6377,6099,3463,3502,3540,3266
"2022-11-10 14:",3569,14,18.9,0,1.3,56,0,2,77,357.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,675.3165,311.6842,1464.1816,4754.7953,2959.2292,1652.2336,1473.6913,1129.3632,1232.0202,1071.7433,1118.6161,674.6107,455.1115,940.7644,374.2469,173.7993,1469.4345,6380.401,3056.3577,1701.6434,1375.4306,1068.37,1140.6524,1070.4071,1016.8088,809.2196,621.2431,1367.9169,23353.7821,536,2395,6377,6099,3463,3502,3540,3266
"2022-09-18 11:",551,8,26.8,0,1.8,74,0,9,23,718.24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1008.8825,548.723,1106.3367,985.6126,1208.0366,1056.0625,1322.101,1170.5017,1358.7826,1175.591,1073.4838,779.5772,527.6267,1003.6542,1304.1798,681.6782,1187.7173,1112.6999,1208.8874,1199.6537,1168.8594,1201.2029,1510.0316,1215.9768,1140.8405,982.8,684.3497,1427.6715,9261.9131,229,1862,6377,6099,3463,3502,3540,3266
"2022-02-18 04:",592,0,-7.4,0,0.8,54,0,0,43,54.76,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.7905,211.749,501.9284,2966.9187,3646.3162,1815.128,1268.1831,928.2201,1088.7382,747.8316,734.4896,529.4143,393.7138,830.5806,326.9197,151.8204,714.8055,5227.7516,3829.5312,2019.553,1291.5856,787.2852,764.018,738.4224,705.5982,630.527,544.9044,1153.2537,22064.9674,34,7,6377,6099,3463,3502,3540,3266
"2022-08-31 14:",3529,1,23.6,0,2.9,77,0,10,8,556.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,795.2328,265.0776,362.4723,820.9119,722.2359,700.7208,748.7397,642.84,628.3923,591.4799,559.7417,357.1382,320.5151,739.046,1459.453,521.8145,830.9976,956.3313,790.4139,705.9653,860.0855,620.9449,606.1496,521.0999,631.9166,500.0155,429.3471,975.1155,6305.4043,294,1986,6377,6099,3463,3502,3540,3266
"2022-12-06 09:",3891,0,-1.6,0.1,2.1,74,0.2,10,34,2.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.0666,291.4866,287.8602,441.5092,586.5852,650.002,628.0846,622.1911,597.5114,547.7687,570.0491,422.5259,325.7815,603.9359,524.7688,259.4359,353.3868,501.6189,689.7889,659.1422,810.2733,649.4429,652.3911,672.2379,704.3394,575.3947,479.427,1220.4082,4967.0043,451,0,6377,6099,3463,3502,3540,3266
"2022-05-15 10:",552,1,18,0,3.8,35,0,0,33,324,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,969.5022,527.3042,1069.5606,1046.1725,1067.5619,1083.2528,1300.6346,1156.7157,1266.006,1203.4727,1016.7582,776.3208,611.7146,887.7531,1420.2163,742.3291,1269.139,999.776,1258.6113,1154.1409,1155.5944,1162.6324,1474.33,1229.1456,1204.2831,916.8567,683.1834,1229.7502,9065.7444,206,1753,6377,6099,3463,3502,3540,3266
"2022-08-04 00:",515,1,27.2,0,2.2,89,0,9,28,739.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864.0318,404.2063,457.1106,599.8435,816.296,881.7517,940.9319,924.4859,996.375,706.7165,751.8809,655.4983,533.1972,993.1158,702.0201,304.9381,498.5983,676.577,956.9184,1022.8111,1090.5408,968.0342,874.9678,781.4772,1022.9322,874.4692,644.3525,1313.3229,6985.6704,11,0,6377,6099,3463,3502,3540,3266
"2022-11-05 22:",3587,2,6.8,0,0.1,66,0,0,20,46.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1108.5962,602.9569,1166.2868,950.2268,1032.2515,967.7481,1057.2252,1019.0237,1334.1296,1231.1418,1025.1388,825.204,605.0009,987.5438,1428.2911,746.5494,1186.2852,1107.1576,1109.423,1087.2168,1285.0711,1227.1157,1536.775,1215.0685,1091.2476,1033.7245,704.0087,1434.1751,8596.3201,341,699,6377,6099,3463,3502,3540,3266
