"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-01 05:",3500,1,8.1,0,0.9,75,0,0,17,65.61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,561.5986,197.5582,260.6152,497.1667,831.6251,801.3768,759.122,688.323,595.364,501.4704,582.2401,459.8722,319.2359,591.0805,490.6572,193.1546,246.2386,679.0224,949.969,813.4511,724.0864,548.322,589.8316,544.2642,625.5684,594.7103,382.3673,882.5746,6055.8195,40,0,6377,6099,3463,3502,3540,3266
"2022-08-04 02:",3500,2,26.9,0,3.9,90,0,9,21,723.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669.8397,235.635,244.2346,458.3323,730.5081,856.9476,769.9875,664.5132,620.381,529.5029,589.1932,447.5218,314.5835,566.8917,512.4528,201.7348,243.5561,607.1726,1001.8821,904.4456,798.6913,586.5933,582.1628,519.202,584.7105,625.5771,403.991,879.0458,6127.9671,17,0,6377,6099,3463,3502,3540,3266
"2022-10-18 04:",3500,1,6.8,0,2.1,67,0,0,33.5,46.24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.4316,221.4203,235.9273,487.3617,725.6935,857.3279,846.3992,648.0828,624.7659,505.5697,591.0771,446.291,359.2407,590.3169,534.1046,210.2585,263.546,636.3516,977.201,918.4744,827.1832,621.298,572.7355,553.415,591.6331,622.9322,400.2253,886.7593,6275.9925,67,0,6377,6099,3463,3502,3540,3266
"2022-03-17 10:",3500,1,9.9,0,2.9,64,0,10,47,98.01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.4896,108.1681,116.2833,417.7862,628.2366,544.449,699.1723,644.192,554.9498,578.9862,633.0998,450.7877,324.578,571.0793,241.3126,94.9963,155.4801,510.1227,704.874,742.0088,731.4101,510.9752,520.6829,595.6168,671.2154,479.7788,330.7205,878.2795,4978.0597,184,0,6377,6099,3463,3502,3540,3266
"2022-04-21 08:",3500,11,12.8,0,1.6,58,0,8,38,163.84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.6509,83.2483,133.3643,444.6997,694.7261,662.115,743.2918,641.0276,580.8378,500.3441,628.7258,482.2285,299.931,482.1048,277.8969,109.3982,142.9355,616.9596,799.7227,770.5405,746.806,492.1512,536.759,613.2268,664.0019,551.0368,341.609,887.1514,5478.8614,506,0,6377,6099,3463,3502,3540,3266
"2022-07-24 16:",3500,6,27.3,0,1.3,79,0,10,29,745.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,554.6235,195.1044,251.7999,492.864,662.9508,765.4773,711.2726,598.5127,636.0132,590.1881,615.8266,437.5857,345.1947,617.9758,493.7614,194.3766,232.8493,548.0803,793.9713,796.1779,685.9686,535.2921,526.4743,537.9103,596.7504,574.4175,377.2769,957.8098,5456.7628,182,0,6377,6099,3463,3502,3540,3266
"2022-10-02 07:",3500,1,19.2,0.1,1.6,79,0,10,39,368.64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,543.6042,191.2284,221.4573,529.6463,778.9983,791.1435,772.5927,569.7629,614.9576,504.8686,565.8622,432.0166,309.0798,570.2888,451.5809,177.7715,225.2121,611.6587,825.4545,796.4001,717.3415,519.7423,484.4851,479.9998,519.7827,571.6706,380.0873,851.5937,5823.2356,90,0,6377,6099,3463,3502,3540,3266
"2022-08-02 07:",3500,4,26.7,0,2,90,0,10,13,712.89,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.9997,194.885,224.9869,462.5616,739.4021,763.8126,732.6394,625.1256,669.3818,574.2477,621.9783,431.4053,322.7005,520.1286,485.9123,191.287,233.2979,664.5451,919.6747,847.5669,726.1943,564.2371,538.4077,524.0887,583.4601,562.8948,376.4184,860.304,5856.3967,321,0,6377,6099,3463,3502,3540,3266
"2022-02-16 16:",3500,0,-4.8,0,4.9,38,0,3,45,23.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,493.9192,173.7499,144.277,408.4802,558.6251,594.7476,711.9911,571.3697,652.3319,592.5501,788.1722,457.7292,357.1225,588.2667,332.3009,130.8153,268.5494,456.2504,653.3071,657.8351,622.8104,478.3362,582.0844,578.9982,649.7549,615.7381,394.9302,826.7328,4664.047,200,0,6377,6099,3463,3502,3540,3266
"2022-09-15 15:",3500,7,28,0,2.7,59,0,10,25,784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,309.7096,108.9491,82.749,304.3706,492.7847,505.2097,655.6534,524.5602,659.2005,575.1606,606.2004,485.8985,328.5837,564.5361,249.1569,98.0842,99.2735,388.1213,543.6967,571.5144,523.9621,473.4182,507.8762,542.1894,582.3458,482.365,388.4935,793.5652,3985.3129,191,0,6377,6099,3463,3502,3540,3266
"2022-11-18 05:",3500,0,6.3,0,1.6,86,0,0,29,39.69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.1454,184.3829,254.9123,435.5085,744.5898,837.6365,790.0679,632.5166,576.5161,512.8708,561.4217,400.9319,335.9718,548.1239,516.1246,203.1802,247.9043,669.8487,1063.041,939.729,797.3476,559.5817,524.4521,524.2949,612.3026,604.2005,392.5773,859.9462,6277.769,160,0,6377,6099,3463,3502,3540,3266
"2022-01-10 07:",3500,0,-3.3,0,2.3,82,0,0,113,10.89,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.365,211.547,263.7337,501.9784,762.5208,824.1942,814.9144,650.082,609.6701,546.3333,595.1964,422.3656,305.9913,561.6726,477.1887,187.8527,273.7096,617.2226,994.0061,898.8163,809.1154,527.9554,548.5367,545.7957,642.1898,606.5415,386.8609,837.2501,6222.7682,314,0,6377,6099,3463,3502,3540,3266
