"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-15 21:",3500,8,26,0,3.5,68,0,10,17,676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,506.3562,178.125,176.4794,409.3487,725.2447,744.0517,754.1001,641.1645,625.3763,576.7585,608.092,498.1369,321.2431,585.9085,372.1448,146.5004,224.0752,596.9943,867.8935,784.0172,766.6833,549.5889,543.0939,558.1714,592.418,568.8673,429.1442,946.563,5648.3335,167,0,6377,6099,3463,3502,3540,3266
"2022-03-09 23:",3500,1,5.8,0,1.2,71,0,0,39,33.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,645.5061,227.0748,241.8886,472.3264,812.1031,810.4347,829.8407,715.8265,587.5281,544.0919,558.6217,462.3168,323.9816,592.6884,464.3035,182.7801,283.0459,668.8934,1040.5061,975.5583,820.6062,556.7104,586.8883,536.2579,620.3477,614.576,418.455,888.9147,6430.2689,70,0,6377,6099,3463,3502,3540,3266
"2022-12-18 20:",3500,1,-8.9,0,2.2,49,1.4,0,23,79.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,726.3765,255.5235,174.0978,431.2622,684.5808,808.573,835.884,639.573,632.9453,589.3548,635.9959,461.6636,372.8169,621.6043,472.8693,186.1526,289.879,599.1512,896.0516,795.2639,791.7198,542.5362,465.6933,554.2712,635.007,565.738,422.695,947.6115,5842.4865,0,0,6377,6099,3463,3502,3540,3266
"2022-04-14 13:",3500,8,14.8,0,4.1,53,0,10,26,219.04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223.4281,78.5973,121.1114,314.6174,541.4319,544.8506,646.145,622.2037,608.6818,540.5255,694.1348,426.9289,306.6684,456.2092,190.9818,75.1829,104.6377,393.3998,682.1508,663.2665,638.8959,496.5723,499.9261,564.7437,596.7263,500.0325,368.3401,870.2699,4424.7579,195,0,6377,6099,3463,3502,3540,3266
"2022-04-06 03:",3500,0,8.9,0,2,69,0,9,37,79.21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643.625,226.4134,244.1825,499.1187,823.4395,775.9835,748.156,716.4824,556.4563,525.6576,607.9644,477.6471,326.166,621.2532,423.3682,166.6653,253.5274,707.9893,1022.0804,977.8598,774.387,565.2525,588.1484,531.6018,609.8422,636.0638,384.0889,938.392,6329.0142,10,0,6377,6099,3463,3502,3540,3266
"2022-02-25 20:",3500,5,5.8,0,2.5,81,0,7,95,33.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,586.9628,206.4809,210.0149,468.3712,656.7965,640.18,728.9974,657.0086,637.1016,654.2651,618.531,432.4319,332.3425,607.7485,422.2452,166.2232,249.9665,512.5893,762.9184,721.8622,751.8614,527.6622,572.8033,540.0522,602.9786,575.9883,418.9108,877.847,5243.5764,144,0,6377,6099,3463,3502,3540,3266
"2022-08-04 10:",3500,1,29.3,0,1.7,80,0,4,14.5,858.49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.9136,202.5939,227.8064,407.4354,591.7296,554.3991,657.9014,537.5354,641.7268,550.1233,658.8561,422.7366,286.3044,501.2581,399.9678,157.4533,197.0025,428.8862,587.5918,657.1149,567.675,483.8657,517.6873,573.7471,581.5092,517.6886,325.0864,840.9071,4452.7334,242,0,6377,6099,3463,3502,3540,3266
"2022-11-24 06:",3500,2,6.1,0,1.4,67,0,9,39,37.21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.2136,207.6245,267.3114,420.4277,818.9648,813.0089,808.4626,625.5755,628.8252,534.2963,522.3829,390.828,327.6768,564.6885,478.0622,188.1965,257.1972,653.8656,1018.7014,945.9339,798.4766,635.1269,530.6424,544.0176,567.6722,593.6365,389.332,863.0274,6277.8415,174,0,6377,6099,3463,3502,3540,3266
"2022-08-28 12:",3500,3,25.5,0,2.4,46,0,4,19,650.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,414.8829,145.9468,233.3589,441.1549,655.4641,771.9535,681.2869,601.0247,603.1571,519.833,548.683,398.2597,304.541,555.7864,381.9228,150.3493,269.921,513.7062,798.6355,708.6188,630.9548,509.7958,523.0708,489.6633,530.9679,535.6202,372.0706,840.5642,5201.7747,286,0,6377,6099,3463,3502,3540,3266
"2022-08-02 21:",3500,1,26.6,0,4,90,0,10,8,707.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,462.2396,162.6058,221.0841,412.6372,729.2216,717.4104,733.9839,596.7629,624.4662,558.9288,602.9687,479.4926,343.4663,555.3486,381.9375,150.3552,260.6445,580.709,881.6974,860.9741,727.7459,562.0358,574.7897,509.5383,593.2622,588.5028,415.3499,956.4383,5644.3795,152,0,6377,6099,3463,3502,3540,3266
"2022-01-15 14:",3500,1,0.9,0,1.9,43,0,9,64,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,529.7336,186.3488,221.0675,417.971,722.4743,693.4908,677.2986,607.6348,614.8739,587.5421,622.0713,436.7334,339.1994,615.8191,339.9972,133.8453,284.4302,532.3882,772.2648,729.5112,693.4722,509.5312,633.1763,554.5656,601.3559,568.7743,438.5937,824.955,5238.8711,251,0,6377,6099,3463,3502,3540,3266
