"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-07-09 11:",591,2,26.6,0,1.8,85,0,9,24,707.56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,634.8424,293.0043,764.2809,3340.3784,3255.1982,1835.2052,1546.6044,1157.3281,1143.1622,862.4794,829.1805,631.6604,447.9751,862.5351,675.2379,313.5786,1061.2524,4673.0793,3459.4204,1904.1591,1439.183,1010.477,996.6841,964.6932,915.7419,725.0464,558.8217,1300.5388,21453.228,401,2044,6377,6099,3463,3502,3540,3266
"2022-11-26 22:",3582,1,2.3,0,2.1,47,0,0,56,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,479.1584,221.1497,1428.3586,5525.2151,5114.9227,2435.9772,1611.9906,1076.8005,1237.5365,946.2286,855.8668,574.4516,456.3697,845.2033,444.5203,206.4341,1646.5084,7242.5349,4758.1678,2171.4595,1396.1653,873.9911,970.0735,818.841,827.0358,729.4558,551.0461,1175.6165,30256.4331,621,4044,6377,6099,3463,3502,3540,3266
"2022-08-10 07:",3579,3,21.6,0,1.1,97,0,10,13,466.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.4569,224.5183,571.7637,3198.6756,3417.6629,1924.1889,1461.9467,1089.871,1164.4046,952.9654,818.3129,655.17,445.9677,836.2469,456.6245,212.0548,946.7166,5273.557,3713.9507,1906.2816,1404.055,936.4581,849.6012,891.8897,776.8174,698.26,551.3848,1377.3025,22300.3184,446,2405,6377,6099,3463,3502,3540,3266
"2022-04-07 08:",3582,6,9.1,0,2.9,53,0,8,32,82.81,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.0457,282.9437,1266.5755,3707.9305,3077.9359,1668.1345,1482.4587,1137.1663,1265.1682,952.3148,935.4705,642.501,501.4249,975.6409,402.9345,187.1217,1340.8421,5455.1239,3439.4246,1897.2585,1370.0206,947.0537,1031.6215,906.3371,855.6123,738.4414,588.2478,1370.7789,22098.2872,796,4526,6377,6099,3463,3502,3540,3266
"2022-01-10 18:",3569,6,2.4,0,2.1,56,0,10,100,5.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,492.2224,227.1794,1516.4418,4113.6271,3632.4056,2106.1937,1889.0875,1211.7282,1354.9017,1079.1848,947.8486,749.0251,532.7194,865.981,469.793,218.1701,2278.7675,5988.6311,3964.7765,2306.7555,1526.2428,1110.1043,1214.1363,1019.2273,1016.3378,763.9755,630.5753,1259.7547,25527.7198,918,4065,6377,6099,3463,3502,3540,3266
"2022-01-31 11:",3523,0,0.3,0,1.4,46,0,0,45,0.09,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,597.8104,275.9122,411.7489,1903.6048,2056.5161,1376.3193,1091.8781,933.9795,940.133,769.5542,747.2992,563.6085,370.9851,841.8797,462.6788,214.8669,512.0243,2888.2735,2114.1896,1227.8811,1018.6228,730.6003,773.7926,713.6368,674.8291,625.0261,476.0034,1117.9438,13677.2853,162,888,6377,6099,3463,3502,3540,3266
"2022-09-16 04:",590,0,23.6,0,3.5,79,0,9,13,556.96,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.6266,173.3661,779.0024,3820.5529,3779.6961,1840.4586,1343.2092,944.6679,1077.0297,845.6798,821.9443,503.8708,432.8869,812.3257,341.6197,158.6473,1143.6479,6302.9829,4098.8,1980.4635,1322.663,834.0943,827.4779,741.1324,628.8802,606.477,522.5005,1186.3964,24488.8262,52,9,6377,6099,3463,3502,3540,3266
"2022-04-19 07:",592,2,9.1,0,1.8,75,0,0,36,82.81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.2596,219.8116,1135.3701,3751.7374,3422.9052,1916.5597,1487.8585,1082.5449,1128.6685,941.5918,839.5951,595.7354,419.951,849.1337,411.4213,191.0631,1236.1866,5905.5941,3812.1071,2042.9369,1445.3191,873.7614,860.2834,882.8697,748.9694,674.0063,622.0168,1229.2993,23785.018,469,2719,6377,6099,3463,3502,3540,3266
"2022-10-13 23:",591,2,14.7,0,0.4,80,0,2,29,216.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,376.7043,173.8632,927.9664,4438.1526,4001.4625,1991.364,1360.5727,977.4701,1049.2452,852.1528,805.8827,543.9523,367.3276,819.0794,362.3487,168.2739,1252.9632,6717.6327,4058.9758,1931.6043,1412.5815,711.3797,844.1434,791.3301,685.3333,617.4661,509.7826,1251.9544,25912.3461,446,1560,6377,6099,3463,3502,3540,3266
"2022-02-15 15:",590,1,-3.3,0,3.8,51,0,7,24.5,10.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,476.4849,219.9157,888.4964,3054.7615,2827.5063,1824.8405,1526.7998,1242.8616,1221.5518,1204.4779,1071.8491,743.6286,558.0783,1022.8142,459.9353,213.5926,1331.1438,4684.5294,3167.949,1779.5888,1598.5242,1098.425,1164.1652,1093.1085,984.5878,867.6236,692.9058,1469.1036,20464.4995,546,2129,6377,6099,3463,3502,3540,3266
