"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-12-19 23:",548,0,-6.3,0,1.5,54,1.1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1011.3554,473.1267,517.8069,540.8966,729.3619,914.1248,1065.926,909.5973,948.3225,727.6225,777.7758,711.4641,498.543,1027.8057,871.9098,378.7339,522.4334,659.3336,982.9942,1038.5329,1234.7588,998.3102,991.1661,840.3144,1036.8295,845.7068,658.8746,1504.7095,68,0,6377,6099,3463,3502,3540,3266
"2022-12-30 12:",3575,3,0.6,0,1.8,57,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,547.722,334.0362,728.3243,866.1521,1123.913,1064.5977,972.3019,951.6634,1006.6198,812.2482,934.3587,676.3306,432.4809,829.7999,480.9944,278.2229,506.8779,1093.7723,1276.0488,1044.6375,1111.5163,917.5852,887.2842,879.5084,1103.0389,818.2916,563.935,1577.1764,330,0,6377,6099,3463,3502,3540,3266
"2022-05-26 09:",3586,2,18.3,0,3.2,72,0,6,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.7923,94.5013,494.8447,1442.3976,1431.0986,966.623,981.4231,668.3064,743.9319,629.0709,548.0202,465.1335,307.5372,593.4952,258.4491,126.6259,662.8554,1863.5063,1276.593,879.8167,892.2546,722.9778,681.1039,569.4059,614.9698,460.19,395.2902,898.5453,687,0,6377,6099,3463,3502,3540,3266
"2022-08-28 18:",3518,14,27,0,2.3,43,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,491.2412,205.5995,341.2441,1077.573,1429.2178,1084.1139,1039.0215,709.3896,690.3984,617.3534,605.7075,535.1769,330.2582,662.8171,475.1397,232.7927,476.0392,1488.7589,1609.6646,1286.0927,1065.9483,766.9911,742.9946,569.5761,608.0847,507.0788,409.674,995.3208,464,0,6377,6099,3463,3502,3540,3266
"2022-08-12 19:",3881,11,29.5,0,3.1,65,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,868.9366,406.5009,449.0017,578.7674,708.6984,771.867,902.9699,850.0702,1000.1129,735.943,693.7386,570.6249,445.0886,911.1322,684.4061,297.2873,448.2751,585.8054,776.9121,804.0929,939.4211,814.8313,821.0282,633.7966,790.2829,732.5052,524.0334,1268.7665,333,0,6377,6099,3463,3502,3540,3266
"2022-10-03 16:",3570,5,23,0.5,4.2,97,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,701.4261,326.661,550.3019,788.0004,1194.5757,1240.1343,1162.8436,958.3517,963.3013,793.2607,780.4578,590.972,382.0186,834.6946,545.9018,290.7634,516.5836,963.5549,1310.3769,1190.0548,1138.7635,905.0955,1018.3177,874.2797,863.5861,715.0206,573.6909,1259.3601,284,809,6377,6099,3463,3502,3540,3266
"2022-11-27 22:",544,2,7,0,2.7,38,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1617.6224,1367.494,1651.2884,861.0633,811.0039,802.2548,1083.4113,1421.623,1998.3686,1572.3006,1244.471,874.4904,634.9602,1270.0326,1746.8721,1463.2751,1656.6833,1033.2109,999.5409,892.3188,1470.6873,1892.4386,2243.5668,1546.2478,1399.5942,901.9028,694.3608,1621.2246,119,176,6377,6099,3463,3502,3540,3266
"2022-12-27 20:",3873,0,-0.6,0,2,66,0,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,902.967,422.4209,443.757,588.066,727.7774,797.5324,864.5656,841.7108,909.1753,752.0426,734.7062,551.9001,446.0878,925.8557,801.585,348.1867,439.6599,656.2291,826.9765,858.6158,1004.9383,900.1266,837.024,721.3769,869.566,734.3092,565.9,1217.0429,241,0,6377,6099,3463,3502,3540,3266
"2022-06-08 00:",3573,1,19,0,3.2,61,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.2109,133.0703,208.1568,602.1722,811.2278,804.5033,767.5766,547.284,575.425,397.4431,452.5119,308.0241,193.7779,422.5381,328.4428,117.432,305.4657,849.3437,1066.1194,952.9755,790.4605,539.7952,389.0237,399.5921,507.8471,359.0082,325.8778,780.906,67,122,6377,6099,3463,3502,3540,3266
"2022-12-06 01:",576,1,-3.4,0,1.6,61,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673.8373,1415.0168,1685.3839,816.0135,705.8757,752.5725,975.6655,1388.3772,1943.4845,1575.7329,1176.5491,808.1634,639.6203,1132.1333,1816.0287,1521.2038,1715.6462,1050.5036,968.5581,842.24,1447.3521,1916.2268,2297.913,1539.6727,1388.0069,965.5537,696.7447,1577.8035,11,2,6377,6099,3463,3502,3540,3266
"2022-09-03 02:",3534,3,21.3,0,3.3,67,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.8361,193.7895,471.0924,1195.9591,1243.1952,947.5516,1073.9534,902.1395,920.0986,972.7495,1041.1843,735.3787,543.1247,789.7499,473.7746,231.6863,504.1317,1699.4988,1397.2996,1030.3657,1030.8239,880.2793,731.6389,901.9464,988.5992,863.521,568.3799,1351.5058,23,0,6377,6099,3463,3502,3540,3266
"2022-03-01 06:",3564,0,5.8,1.7,0.3,87,0,10,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724.4656,1457.8164,1673.827,999.7924,861.5506,758.4736,1115.6076,1503.5861,2044.5234,1625.9343,1373.1873,905.1184,679.0308,1201.1785,1971.5001,1651.4347,1672.7782,1222.9014,915.994,909.6,1555.6389,1974.3095,2252.0042,1555.6672,1389.7432,836.1733,668.8265,1559.4706,44,182,6377,6099,3463,3502,3540,3266
"2022-07-10 09:",593,3,27.9,0,0.8,79,0,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,787.9511,368.6148,497.3609,666.1449,820.2534,899.3006,941.633,842.7508,880.748,721.4126,729.6605,653.0356,389.8596,904.8441,660.5933,286.9437,488.8061,721.5578,959.0176,962.9286,1076.1236,845.7238,824.046,716.9337,894.5511,798.1964,591.335,1362.3906,297,0,6377,6099,3463,3502,3540,3266
"2022-10-26 11:",3503,0,15.2,0,1.9,50,0,2,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2033.6792,1719.2171,1562.5426,909.8374,976.2384,832.0356,980.0799,1111.6044,1361.7208,1084.0779,892.57,763.8239,579.8709,1159.781,2432.4805,2037.5781,1717.433,1083.4344,1014.8423,887.6905,1499.7081,1778.0261,1783.8794,1465.0084,1327.1352,1065.6303,726.8244,1704.2571,226,630,6377,6099,3463,3502,3540,3266
"2022-07-29 10:",3543,0,31.3,0,3.6,65,0,5,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.2106,190.5196,380.1771,1175.1985,1326.3288,908.0067,925.985,716.7267,761.3588,615.7576,636.0916,480.5903,304.0154,636.8366,363.3401,178.0176,410.9193,1695.9289,1236.8245,855.7467,887.3851,648.9201,650.3048,525.8387,551.6762,494.9726,399.6693,974.9808,474,0,6377,6099,3463,3502,3540,3266
"2022-10-04 09:",574,7,17.1,0,3.1,93,0,10,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.4818,249.8274,314.1993,924.2564,887.8246,698.8501,673.4659,597.6956,648.2244,557.8785,556.2266,417.0074,293.8658,579.1337,1377.1714,492.3955,808.2373,1099.2498,911.6994,838.3358,778.5144,588.98,562.3773,505.8008,647.8809,549.8922,445.2688,918.4499,461,3339,6377,6099,3463,3502,3540,3266
"2022-08-08 16:",3543,1,25.7,9,1.5,96,0,10,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,395.8455,165.6739,392.6821,1183.2455,1304.1504,940.9741,886.7474,749.4531,858.7868,694.0442,715.8833,452.6988,309.4982,654.2481,383.5538,187.9209,364.313,1417.5725,1118.7777,873.6854,800.6653,637.1016,646.2361,624.0365,627.6813,511.1829,382.3674,968.3847,470,0,6377,6099,3463,3502,3540,3266
"2022-04-07 07:",3582,1,8.8,0,2.5,54,0,9,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.2797,258.5901,1108.5535,3637.4026,3464.6234,1882.7424,1389.2645,1059.2121,1231.9196,927.5944,775.5774,590.3864,420.0319,917.1872,434.344,201.7082,1225.1944,5701.228,3804.3837,1986.3739,1349.556,846.5398,879.4327,812.4705,810.727,653.2664,593.4662,1275.9255,467,2521,6377,6099,3463,3502,3540,3266
"2022-01-06 15:",3541,3,2.8,0,2.6,31,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,510.603,214.2528,611.8364,1047.7695,939.6441,723.6363,834.8718,785.1563,875.2171,971.8706,1008.2198,772.3389,554.0916,907.1934,482.2491,235.8299,772.913,1431.2436,1052.0012,937.7729,1030.6581,817.665,837.0211,861.9583,989.0194,881.3692,705.1076,1464.4644,282,292,6377,6099,3463,3502,3540,3266
"2022-02-21 00:",3878,0,-5.3,0,2.1,47,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682.1575,1422.0501,1690.1338,994.7837,878.9448,731.2023,1105.7465,1590.4743,1993.7591,1656.4284,1316.0405,831.1478,667.731,1158.0331,1865.524,1562.6642,1672.5948,1206.4012,931.066,905.0853,1574.4278,2025.1248,2238.3135,1553.6079,1365.2654,889.3159,677.6915,1585.1938,10,0,6377,6099,3463,3502,3540,3266
"2022-02-09 05:",3502,0,-3.6,0,2.1,73,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.7452,253.5458,295.3932,489.1064,707.6663,733.2946,757.9069,643.0242,584.0478,558.2741,623.8919,496.1371,305.0879,783.9806,487.0123,236.3302,320.6027,546.4609,649.6322,834.8582,623.6629,580.9101,742.2396,643.3851,800.7771,528.2942,470.8035,1125.9828,153,188,6377,6099,3463,3502,3540,3266
"2022-12-18 00:",3521,0,-9.8,0,2.8,56,1.5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1607.3863,1358.8409,1775.1698,884.8983,810.983,754.3166,998.9205,1396.2316,1987.2194,1605.3148,1221.9563,886.2046,667.4809,1236.0777,1769.7072,1482.4021,1656.9872,1090.6077,956.5011,877.6783,1439.0682,1945.613,2202.3044,1538.6089,1373.6117,829.4055,708.395,1513.573,0,0,6377,6099,3463,3502,3540,3266
"2022-06-16 05:",3542,1,17.9,0,2.3,95,0,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.8121,394.6089,710.0741,552.9123,797.9673,794.9933,871.1362,877.8057,932.432,757.0377,891.112,630.3084,465.8493,918.2444,922.6109,535.611,858.5156,792.6571,1025.6903,911.9953,983.9258,955.0627,1169.8137,925.5903,1017.2726,912.9161,646.7698,1495.5367,142,327,6377,6099,3463,3502,3540,3266
"2022-05-22 13:",3878,0,24.5,0,4.2,54,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1451.7589,1227.2771,1332.293,916.1357,824.5095,805.6294,1146.6767,1466.0262,1736.039,1479.0239,1182.1204,893.4916,681.8739,1250.9549,1479.8972,1239.6425,1497.7798,985.136,1005.3686,901.9715,1403.072,1719.8839,2029.6476,1477.1223,1341.9854,954.2393,691.1018,1684.7803,226,787,6377,6099,3463,3502,3540,3266
"2022-12-02 06:",571,0,-7.3,0,1.4,60,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.4619,177.6509,453.5854,1353.4515,1451.5846,976.1556,1039.6675,642.2831,614.2536,552.3133,544.4935,395.2955,277.1074,563.9029,344.158,168.6187,464.1539,1930.9055,1567.4301,1095.3912,855.7949,601.9916,531.5792,491.4734,504.51,456.7997,316.2043,813.0939,340,0,6377,6099,3463,3502,3540,3266
