"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-08-26 13:",3500,2,27.3,0,1.9,61,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,214.1168,75.3215,127.2583,352.1018,527.047,528.1246,649.8412,593.7325,607.5995,516.7375,587.2265,445.3256,346.4203,511.1738,222.6629,87.6547,92.7612,411.0952,565.712,609.2155,492.7824,469.1401,489.6442,574.4244,545.5249,556.6689,352.1648,822.6999,247,0,6377,6099,3463,3502,3540,3266
"2022-02-26 11:",3500,2,6.8,0,3.4,76,0,9,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,657.2822,231.2176,217.7402,485.2203,714.9873,755.1919,739.7064,685.4068,621.6055,557.3186,608.5245,460.3833,299.5,596.5954,496.161,195.3211,247.3128,560.0467,837.5349,754.7685,716.2136,599.9033,561.235,552.4285,565.4525,504.0083,359.0079,893.0866,207,0,6377,6099,3463,3502,3540,3266
"2022-03-09 11:",3500,2,8.9,0,2.3,68,0,2,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,664.1871,233.6464,223.7282,464.7086,757.1119,728.8722,720.7982,676.7058,614.186,579.7164,648.6805,458.5791,377.8507,562.1608,456.3933,179.666,243.4695,668.2149,920.4074,838.7381,794.5464,538.5987,596.4879,568.4481,614.0448,584.2779,432.6138,868.4702,197,0,6377,6099,3463,3502,3540,3266
"2022-12-26 04:",3500,0,-7,0,0.9,79,1.2,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.1337,230.4617,258.2751,461.4326,794.4419,905.1477,814.8025,617.5087,595.305,504.7096,614.9372,444.1136,352.3293,602.2617,498.7067,196.3236,287.4697,656.1968,1008.5693,909.4404,847.3777,586.4302,547.6743,541.4838,609.9651,591.8768,390.8973,865.6872,62,0,6377,6099,3463,3502,3540,3266
"2022-09-07 09:",3500,4,21.6,0,2,81,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.9933,103.0685,68.7951,410.2922,552.1284,592.7075,631.0554,579.6979,606.2698,528.0568,639.0906,444.3178,296.7841,566.0077,265.0529,104.3418,105.4065,455.4932,660.1568,587.1356,598.7947,566.41,531.5803,517.9984,600.6828,487.2589,344.9071,886.2007,348,0,6377,6099,3463,3502,3540,3266
"2022-02-12 04:",3500,0,1.9,0,1.2,78,0,9,127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,719.509,253.1075,196.9865,481.5833,813.3543,853.2204,767.0894,684.817,605.1091,485.0369,617.1999,448.593,337.3756,603.7778,467.4577,184.022,242.2778,634.94,1029.1282,916.5266,812.8144,559.2142,562.0965,542.4103,629.782,634.2032,447.8865,886.8265,44,0,6377,6099,3463,3502,3540,3266
"2022-04-01 01:",3500,0,7.1,0,2.3,66,0,0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.7121,217.2979,205.0742,504.5638,837.8139,837.9495,744.5641,672.0713,579.4744,536.9852,590.7878,478.5821,341.3827,608.2183,477.3432,187.9137,259.9595,661.7203,1044.6208,978.673,805.9011,536.3792,615.9131,561.7707,634.9469,619.8489,397.3358,890.562,19,0,6377,6099,3463,3502,3540,3266
"2022-09-04 00:",3500,5,22.7,0,3.3,67,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,589.6128,207.4127,276.2207,481.304,774.5001,845.7537,829.1747,675.5858,607.1001,515.7109,615.7092,470.3742,318.3262,583.4455,437.1025,172.0718,254.8878,636.3434,987.8842,896.4742,774.1732,621.3144,523.4061,500.1753,578.7707,595.8707,405.3183,857.8433,28,0,6377,6099,3463,3502,3540,3266
"2022-12-25 06:",3500,0,-9.4,0,1.7,76,1.6,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,590.4472,207.7066,231.804,481.8688,820.2894,883.0442,868.1674,632.1789,575.2014,545.336,599.1649,466.9294,361.3852,581.6881,486.2281,191.4111,300.3791,689.5984,950.829,844.4231,759.515,594.5904,527.3638,527.4285,630.5015,590.499,387.3205,841.3872,59,0,6377,6099,3463,3502,3540,3266
"2022-12-14 22:",3500,2,-8.4,0,2.1,60,0.1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,516.8186,181.8057,214.3639,406.2504,751.2697,861.1879,800.87,603.0668,597.3341,543.7883,628.6236,475.2838,360.598,607.2219,405.178,159.5046,286.8818,610.2002,949.6872,848.8829,857.7802,614.7465,560.4188,554.1189,634.6753,598.8872,381.364,865.9141,114,0,6377,6099,3463,3502,3540,3266
