"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-10 11:",591,0,21.3,0,2.3,36,0,0,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,527.3412,243.3877,1012.0972,3480.7646,3359.5536,1964.5431,1517.9045,1054.6745,1075.2466,831.6168,843.4903,506.0858,436.6129,829.1155,504.4288,234.255,1178.8123,4976.7226,3330.7738,1875.8798,1460.0649,971.4468,893.7181,868.3141,849.0855,748.1576,579.8303,1178.6812,266,1627,6377,6099,3463,3502,3540,3266
"2022-12-24 08:",3569,1,-13.5,0,2.3,63,1.7,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,375.5839,173.3462,690.3607,3359.0032,3486.6008,1928.6249,1407.1451,923.9541,1041.6742,812.0118,842.1191,551.6219,428.0111,802.5787,352.7353,163.8093,907.0608,5229.1386,3760.2362,1882.5003,1290.6279,769.0303,879.9244,810.9048,768.4326,637.1215,506.5783,1169.1367,342,1240,6377,6099,3463,3502,3540,3266
"2022-10-11 12:",3579,1,13.2,0,3.1,61,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,641.2387,295.956,1604.937,4919.1236,3170.5174,1738.9733,1461.4611,1250.4165,1349.9257,1131.79,1064.6813,730.4176,544.12,912.5153,441.8919,205.2134,1817.6904,6853.0712,3115.4032,1875.1709,1535.2717,1224.4168,1291.7208,1139.1004,1041.9281,781.6252,587.6087,1369.1754,399,1848,6377,6099,3463,3502,3540,3266
"2022-09-20 06:",3571,2,16.2,0,1.7,74,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.2982,203.6755,767.6074,3702.3758,3653.6379,1846.4245,1362.4439,1003.2604,1077.9088,834.0877,776.5124,565.0487,396.6403,825.587,409.421,190.1341,1092.8901,6377.8285,4008.725,1901.9241,1341.1307,797.8449,778.8504,796.6801,678.1404,639.7088,544.6043,1269.7353,244,1039,6377,6099,3463,3502,3540,3266
"2022-08-27 16:",3569,16,25.1,0,3.4,43,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,730.5688,337.1847,1270.7122,3829.7867,3826.7007,2015.0214,1721.6541,1170.6462,1160.1731,1045.6799,892.3917,725.1568,442.8598,893.95,1177.8779,547.003,1914.3808,5645.2763,3941.0936,2065.8676,1575.9046,1109.7568,1304.6333,977.532,1044.3598,709.4946,607.9967,1254.0167,696,3878,6377,6099,3463,3502,3540,3266
"2022-06-19 20:",592,4,24.3,0,1.1,77,0,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,656.4504,302.9768,1724.3792,4956.3769,4436.6183,2357.505,1661.0997,1067.9178,1088.0474,943.5971,871.2625,628.1356,439.5665,826.8157,575.2571,267.1479,1939.7533,7244.9833,4585.3656,2156.6099,1353.2763,931.5999,894.9796,936.3323,831.1997,733.2905,591.4798,1280.6658,475,2755,6377,6099,3463,3502,3540,3266
"2022-03-26 02:",3571,0,12.1,0,3.3,98,0,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,427.306,197.2179,766.8954,3586.4911,3501.023,1883.5899,1357.204,886.8687,950.9238,753.4269,728.0049,521.417,395.0224,921.4804,325.8955,151.3445,1108.5072,5654.1519,3668.7377,1850.0385,1216.3356,745.823,809.5646,739.9013,641.0007,620.5005,500.4738,1181.4422,22,0,6377,6099,3463,3502,3540,3266
"2022-01-21 15:",590,1,4.1,0,1.4,32,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,480.0031,221.5392,1157.1853,3305.0922,2853.6349,1731.9346,1597.6585,1186.4853,1246.0401,1109.5187,1098.2489,624.7501,529.4323,959.6371,526.7877,244.6391,1803.8417,4772.2555,3125.9816,1819.3286,1453.1263,1085.2888,1107.1014,1022.9102,992.203,802.1594,651.2983,1330.9701,597,2576,6377,6099,3463,3502,3540,3266
"2022-03-01 22:",590,0,1.9,0,2.9,52,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,618.3105,285.3734,1085.4037,3599.961,3672.9735,2012.5954,1405.113,940.8033,1113.6457,792.0363,771.7776,561.9718,440.9555,870.5998,431.9848,200.6122,1251.6034,5610.8688,3982.784,1978.8947,1361.278,817.6284,817.7397,806.3136,701.1711,659.3,596.937,1226.8092,544,2840,6377,6099,3463,3502,3540,3266
"2022-05-03 11:",3508,0,17.8,0,3.6,37,0,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,622.7144,287.4066,1625.7225,4376.4281,2864.9918,1709.3957,1532.5168,1188.3174,1294.4877,1068.14,990.2088,725.186,539.9556,993.5772,413.7665,192.1517,1746.7581,5851.0758,3138.8782,1719.9627,1575.1884,1259.5342,1181.8853,1006.8416,1004.3257,803.4496,684.753,1390.8043,390,1752,6377,6099,3463,3502,3540,3266
"2022-06-27 14:",3523,0,26.6,1.3,3.6,88,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,545.7954,251.905,972.287,3488.1401,2780.6788,1600.2154,1541.3185,1155.5691,1306.9503,1259.7028,1072.6274,696.9211,594.9666,962.4338,358.3533,166.4186,1187.5356,4953.7332,2929.0246,1669.5077,1363.0813,1118.9866,1234.0847,1104.6695,1002.3397,873.6348,680.4945,1434.5945,533,1850,6377,6099,3463,3502,3540,3266
"2022-05-13 06:",3860,1,15.3,0,1.7,54,0,7,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.9719,193.3713,916.7576,3720.2443,3565.6312,1881.9904,1360.026,915.6749,1010.1499,834.5526,862.024,548.7854,454.2115,825.3564,307.2049,142.6651,1202.8396,6069.4446,3998.6658,1954.4211,1359.5122,809.6199,788.2503,830.3225,782.2155,647.5079,555.7147,1169.4326,221,1068,6377,6099,3463,3502,3540,3266
"2022-02-04 09:",3860,4,-5.9,0,2.4,63,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.2782,199.5128,428.5648,2488.035,2805.5853,1676.21,1432.389,1098.187,1244.2914,1076.7714,984.7179,688.4869,507.0623,900.925,350.9802,162.994,591.1746,3777.4607,2854.246,1661.6926,1266.0925,993.8686,1082.0904,946.2047,909.5483,751.1622,596.8297,1345.9045,470,2516,6377,6099,3463,3502,3540,3266
"2022-11-26 09:",500,0,7.6,0,4.5,55,0,0,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,445.9962,205.8445,847.7108,3444.3459,3321.8048,1890.9892,1508.5243,1079.344,1250.786,1008.725,769.1039,564.1726,436.8986,809.5181,493.4455,229.1545,1079.0695,5527.626,3596.0184,1799.5999,1407.2195,902.5832,1074.8764,919.4853,723.6362,666.1448,523.7228,1264.4044,386,1919,6377,6099,3463,3502,3540,3266
"2022-03-12 17:",3579,5,17.5,0,3.2,67,0,8,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,681.6991,314.6299,2014.7013,4743.7382,4311.9653,2237.3587,1760.0406,1266.225,1224.7243,934.1078,894.649,640.8081,484.9576,926.2494,803.2226,373.0143,2583.1915,6419.1,4173.1331,2240.8501,1475.0885,994.2378,961.0021,884.6003,868.0879,681.8554,604.2197,1284.4535,609,3102,6377,6099,3463,3502,3540,3266
