"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-02-27 09:",3864,0,1.1,0,2.1,58,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,640.2851,298.1873,612.7977,953.7725,1530.6668,1425.4636,1233.7895,1136.9965,1093.0107,851.6684,832.6417,619.4355,433.4848,924.8481,710.6601,378.5179,597.8711,1242.5372,1663.7041,1478.8376,1333.607,1250.6878,1164.6239,972.7075,1060.3356,880.4082,563.2634,1427.5531,233,790,6377,6099,3463,3502,3540,3266
"2022-03-04 09:",3543,1,3.9,0,2.2,56,0,8,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.0608,95.0318,520.0118,1213.6541,1338.4756,1005.2599,1033.8497,665.5985,763.3795,697.6406,583.7722,438.3332,323.7753,615.3687,196.1709,96.1132,519.0317,1748.1928,1330.951,914.9631,927.0243,636.2263,670.0071,573.2225,615.9251,502.3635,380.6933,946.0975,576,0,6377,6099,3463,3502,3540,3266
"2022-04-05 11:",3541,6,13.1,0,2.2,33,0,7,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,375.8561,157.7121,342.7105,917.7946,926.6786,735.8093,884.6786,781.1684,918.4043,820.1616,961.34,754.4987,531.9798,833.1539,470.2007,229.9382,305.043,1283.617,1093.1965,920.7046,882.0827,821.2188,867.142,781.7187,955.8458,825.576,564.5121,1466.2483,174,238,6377,6099,3463,3502,3540,3266
"2022-05-07 14:",546,3,22.6,0,5.3,23,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,434.4122,264.9323,657.0131,923.5645,1196.8747,916.7125,959.7391,810.9643,934.111,732.2421,701.2412,664.8454,453.688,703.2248,415.7057,240.4575,513.7465,1045.3664,1139.118,917.6768,933.1083,761.2489,795.5288,766.8327,932.6075,792.3751,597.4084,1461.6786,346,0,6377,6099,3463,3502,3540,3266
"2022-11-04 03:",577,0,3.8,0,2.4,53,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655.2642,1399.3149,1724.6803,895.3914,886.7483,713.7141,1024.65,1462.8133,1912.734,1544.6971,1148.6396,799.3868,633.2738,1204.3963,1878.1743,1573.2607,1714.1174,1138.9717,984.4618,863.1129,1483.0338,1974.6068,2194.136,1619.7612,1356.9024,880.7442,693.0825,1610.0159,1,0,6377,6099,3463,3502,3540,3266
"2022-08-20 18:",546,7,30.8,0,2.5,69,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,461.7847,281.6256,576.1804,857.689,1031.9795,1016.8201,1034.3119,848.8717,1015.8602,866.1061,873.1511,721.77,508.2875,884.7517,463.4978,268.1022,423.5277,915.7135,1206.4489,980.6681,1095.2226,922.6876,833.5634,812.5029,1101.491,834.5077,651.9163,1426.5534,285,0,6377,6099,3463,3502,3540,3266
"2022-08-20 18:",3504,5,30.8,0,2.5,69,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1005.4989,519.0364,645.6995,998.2959,916.7424,742.1678,1155.1733,924.0137,933.7045,869.7274,761.3975,564.8332,480.6039,820.4943,869.5322,462.1905,709.614,970.4254,1069.0068,930.9578,1244.3977,941.7089,1062.6792,979.7876,1050.7013,765.6065,583.1657,1336.874,408,0,6377,6099,3463,3502,3540,3266
"2022-07-07 04:",502,0,26.6,0,1.1,92,0,6,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.8915,540.9197,665.7198,816.2707,960.5621,755.0103,1220.9467,1024.007,1017.3843,945.5835,964.7891,658.8324,542.7952,995.8632,973.2332,517.3115,745.9049,875.691,975.931,995.2969,1183.9591,1059.2561,1054.8176,937.959,1116.933,869.8013,674.0708,1548.4286,26,0,6377,6099,3463,3502,3540,3266
"2022-01-29 18:",3886,1,-0.9,0,2.7,32,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1131.748,615.5488,1039.2957,1063.5458,1191.6706,1119.9502,1318.8316,1246.7487,1269.0059,1309.7701,1198.371,879.9848,638.8223,1052.7382,1381.8313,722.2653,1080.3775,1013.8333,1126.9194,1030.5233,1199.7641,1212.2974,1496.4796,1282.0011,1273.1112,996.6907,691.9142,1598.2106,335,987,6377,6099,3463,3502,3540,3266
"2022-10-03 21:",588,0,23.2,5,4.4,95,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,982.0362,506.9257,643.8128,749.0435,850.4545,734.299,1153.0548,910.1164,910.5261,855.8324,853.8468,621.5234,470.2423,873.5129,798.6685,424.5233,583.9524,886.1267,816.78,879.8412,1091.0424,1005.2979,986.2388,844.8172,1127.6082,781.5228,609.9623,1331.0516,235,0,6377,6099,3463,3502,3540,3266
"2022-11-18 14:",540,3,16.9,0,1.1,41,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,459.1206,192.156,643.354,2123.0158,1514.9654,955.1256,932.6452,714.5114,853.2067,662.5915,734.8032,441.0251,301.7013,636.5441,409.2254,200.4986,567.4372,2462.5575,1254.9766,839.7631,967.472,770.7733,804.2195,761.7035,646.3294,532.2484,379.2314,1095.8076,501,0,6377,6099,3463,3502,3540,3266
"2022-03-07 02:",539,0,-1.4,0,1.3,54,0,6,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.4038,243.5726,246.6371,498.0595,798.7963,832.5495,828.1911,723.4968,608.8363,521.6839,545.7609,477.9937,365.6989,639.5915,480.0374,188.974,258.7682,686.4962,974.5208,980.2615,816.8765,583.1291,603.4267,538.1489,595.2193,615.4985,384.3982,850.1788,9,0,6377,6099,3463,3502,3540,3266
"2022-12-30 01:",3510,0,-1.2,0,2.2,76,0,9,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.9828,339.3336,532.4121,727.3411,1038.4573,957.5819,1186.3582,886.2093,938.4146,948.8784,1172.9704,957.866,706.1804,1306.2128,750.9153,348.2164,520.4043,926.0718,1132.0351,1142.0473,1115.0421,924.4677,1067.2232,1115.6267,1416.488,1145.4025,928.4798,2015.5492,0,0,6377,6099,3463,3502,3540,3266
"2022-03-09 18:",3579,12,11.4,0,3.4,54,0,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,542.8448,250.5434,2167.4197,5002.3468,4461.4755,2219.1643,1597.0218,1112.9006,1072.9431,864.4391,831.7284,586.0245,474.729,856.1341,662.8641,307.832,2738.0154,6922.2226,4458.0861,2155.706,1380.6171,977.8961,964.4012,930.3761,782.1813,675.7371,642.0377,1154.0533,499,2507,6377,6099,3463,3502,3540,3266
"2022-08-10 15:",593,0,28.7,0,2.6,68,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,838.4515,392.2393,400.2802,524.3147,561.1416,611.384,625.8566,633.2513,744.1184,596.4,618.6557,489.9042,416.4269,786.0589,761.7019,330.8626,427.6158,480.5197,585.9048,625.6112,763.4664,606.1406,707.2273,594.1153,675.7311,648.7764,502.0665,1114.8238,278,0,6377,6099,3463,3502,3540,3266
"2022-10-11 03:",3579,0,7.4,0,1.5,80,0,8,32.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.1157,212.8222,801.2806,3935.5864,3835.9816,1976.0983,1333.4757,890.55,970.3398,755.7427,821.887,510.0472,398.8459,842.9611,365.0933,169.5479,1076.4253,6388.6571,4120.6541,1987.5554,1344.2641,710.434,796.8759,774.8946,617.9094,603.8935,467.6298,1143.1155,30,0,6377,6099,3463,3502,3540,3266
"2022-12-04 13:",3853,0,-2,0,2.7,27,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,543.475,181.1582,309.8728,685.9473,801.9243,787.0004,958.8614,705.4349,599.9152,512.8256,482.2063,339.4978,275.0249,584.48,648.611,231.9051,486.027,932.6802,917.499,931.5702,1024.0979,677.2567,583.4085,541.788,539.694,516.8679,406.9969,1008.5956,359,2184,6377,6099,3463,3502,3540,3266
"2022-02-09 17:",3878,0,5.8,0,1.9,31,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1669.9457,1411.7274,1425.6235,902.3936,794.1419,699.4188,1061.4119,1077.1419,1366.7781,1156.0762,1108.5311,794.205,671.5039,1277.8008,1902.8296,1593.9132,1395.979,1064.9319,863.5247,814.2602,1460.0126,1650.049,2004.4027,1558.2179,1349.2385,1049.1169,786.3951,1805.7302,289,789,6377,6099,3463,3502,3540,3266
"2022-03-01 14:",3533,4,7.6,0,3.1,82,0,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1002.2963,517.3835,636.2054,818.3216,1097.0248,825.7824,1105.324,1017.4809,989.3303,871.7289,688.9213,563.304,437.8428,760.161,830.1666,441.2657,753.8431,990.0784,1070.6832,1023.571,1140.7757,1045.5414,932.9486,1078.6617,1012.661,748.6961,573.8789,1284.8431,251,0,6377,6099,3463,3502,3540,3266
"2022-02-11 19:",3504,2,5.4,0,2.5,47,0,7,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1018.143,525.5636,608.1399,769.082,933.072,809.9127,1094.2067,906.7994,955.1348,820.1611,720.7559,590.3827,521.7734,895.4898,977.8753,519.7794,599.9785,1105.2093,1038.1052,980.7073,1186.8273,1124.2592,1003.939,1048.648,1027.7973,843.8063,639.4271,1306.699,462,0,6377,6099,3463,3502,3540,3266
