"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-10-25 07:",3500,6,6.3,0,0.7,68,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.1154,168.5421,184.429,435.3321,710.3614,816.6723,798.3587,612.9762,575.0007,532.4229,533.7531,412.3572,298.0334,510.9287,488.1387,192.1635,195.2215,621.1221,945.6764,869.5196,741.779,626.2249,496.0175,585.4443,631.1323,582.0849,384.7132,797.6405,453,0,6377,6099,3463,3502,3540,3266
"2022-05-17 20:",3500,14,20.9,0,2.6,60,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,275.9592,97.0762,177.8265,448.9985,743.9532,761.3422,677.6103,673.0236,556.9015,622.818,622.2062,469.2257,374.5506,572.0064,295.7686,116.4339,210.1005,527.3179,757.3885,749.3456,670.5011,494.4506,612.6143,558.7068,651.9843,609.3653,417.3499,867.4448,178,0,6377,6099,3463,3502,3540,3266
"2022-09-16 14:",3500,5,29.2,0,3.6,65,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,255.2416,89.7883,82.6723,367.3724,529.7095,525.3218,628.392,565.5578,649.3503,509.7777,604.884,398.8463,317.9088,537.0668,180.2324,70.9511,113.6334,386.3343,573.8857,587.465,556.2729,401.5627,496.5555,526.925,606.9444,502.1311,326.3901,839.9381,229,0,6377,6099,3463,3502,3540,3266
"2022-07-27 23:",3500,6,28,0,2.4,62,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,579.9411,204.0105,246.0746,439.9372,717.0304,808.127,715.7308,694.8378,626.0425,524.2175,578.2495,448.7591,341.5104,583.7536,491.5087,193.49,252.1893,669.837,1028.9232,931.1842,783.5822,574.4427,578.4765,545.2171,590.0215,633.3061,383.8919,911.0482,68,0,6377,6099,3463,3502,3540,3266
"2022-10-01 08:",3500,3,15.9,0,1,86,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,613.2248,215.7191,250.7517,507.9387,698.1137,744.1423,778.8226,596.1211,579.9819,505.4884,574.3165,416.5097,310.6044,557.3312,463.7839,182.5754,232.8289,619.8282,862.8786,838.359,737.7068,594.0338,523.8517,489.6627,517.299,574.9732,393.279,845.4561,241,0,6377,6099,3463,3502,3540,3266
"2022-03-14 20:",3500,3,6.8,0,3.3,92,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,485.2134,170.6875,189.3656,432.1863,768.9242,752.0461,811.4016,661.9988,608.0202,574.825,683.8055,429.4151,382.6886,652.883,338.392,133.2132,179.5224,574.1945,980.3827,841.4052,775.582,608.836,562.8949,563.0643,638.9512,596.0148,391.9854,805.5854,77,0,6377,6099,3463,3502,3540,3266
"2022-02-18 22:",3500,0,-0.2,0,1.4,41,0,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,615.3764,216.4759,216.4741,462.168,808.6687,821.9827,815.17,662.1109,582.3504,573.7884,632.7263,469.6211,331.9506,643.6046,331.2833,130.4148,232.5159,648.5422,951.384,861.5883,827.2006,489.8681,620.5726,554.096,616.5249,602.2311,409.135,867.628,99,0,6377,6099,3463,3502,3540,3266
"2022-01-21 04:",3500,0,-7.2,0,1.6,70,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.0137,212.1272,226.2708,509.1166,788.033,812.3895,772.338,723.7363,611.4095,508.6654,574.2623,425.7933,348.1353,634.4449,505.2855,198.9132,270.7307,651.0197,1045.3898,904.5893,820.6134,571.2694,603.6066,555.9132,660.2093,628.6096,471.0485,818.2287,85,0,6377,6099,3463,3502,3540,3266
"2022-07-16 03:",3500,3,23.7,0,1.1,85,0,7,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,601.8004,211.7003,296.4924,445.7161,743.8959,843.3129,743.9475,699.9575,631.0588,518.3958,572.2366,438.3796,337.2811,593.4542,543.6825,214.0288,233.7229,589.7348,988.9102,917.1636,783.3429,568.3392,601.8498,518.7291,623.4653,651.6851,409.6002,832.8075,9,0,6377,6099,3463,3502,3540,3266
"2022-12-16 05:",3500,0,-8.4,0,2.5,78,3.7,0,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.0511,230.0812,221.9803,434.4973,780.9439,880.4759,816.0404,665.3674,579.5818,543.5075,591.7585,418.7076,331.7195,531.742,472.5965,186.0448,271.6509,653.5094,1076.001,928.5942,833.2066,597.4468,544.9347,517.2825,585.2522,636.9505,405.6781,847.134,151,0,6377,6099,3463,3502,3540,3266
