"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-06-24 10:",3508,0,23,0,3.7,92,0,8,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.6021,258.739,809.5039,3210.0335,2755.038,1545.4002,1423.1198,1150.7159,1324.4908,1094.9482,925.9307,674.7134,514.7106,877.72,355.2122,164.9596,1029.9944,4691.4918,2972.8292,1665.9984,1412.1877,1105.2134,1108.771,1009.8565,921.2346,781.2946,627.8614,1334.7105,380,1610,6377,6099,3463,3502,3540,3266
"2022-11-14 16:",3508,4,12.1,0,3.7,49,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,447.8385,206.6945,1266.4078,4631.7057,3103.1523,1686.3452,1468.2765,1130.9384,1338.4401,1113.553,1029.793,732.9098,444.1785,914.9237,440.7098,204.6643,1571.17,6380.0759,3205.3205,1717.4062,1334.2194,1188.6063,1116.8825,1070.6038,1033.9921,742.1621,583.3703,1395.8125,689,2999,6377,6099,3463,3502,3540,3266
"2022-11-11 07:",3508,1,11.3,0,3.1,74,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.8482,204.3911,791.4138,3672.7233,3582.9584,1938.213,1399.093,1042.5127,1200.4508,939.3769,865.2477,594.3779,392.23,840.108,385.2309,178.9002,1097.1935,5949.2426,3818.9179,1936.6317,1359.1012,804.2329,888.311,830.3606,755.183,668.6497,566.9276,1271.1564,546,2612,6377,6099,3463,3502,3540,3266
"2022-02-11 05:",3508,0,-1.7,0,1,78,0,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.5475,222.2527,466.906,2980.6376,3556.9961,1845.6899,1203.0126,860.5582,1078.4191,693.2908,733.5786,548.641,413.9969,808.7072,327.5815,152.1278,741.124,5000.4456,3888.4309,1984.5735,1220.1944,750.2767,775.1017,723.3801,667.9854,653.247,524.7426,1248.9048,91,553,6377,6099,3463,3502,3540,3266
"2022-04-28 15:",3508,2,25.6,0,3,21,0,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,551.9863,254.7626,1681.2761,4288.7572,2929.9137,1745.0368,1562.5541,1281.5969,1342.9835,1131.1336,1010.9888,671.3752,509.3905,1025.2904,838.7191,389.4986,2281.9783,5781.3074,3217.6545,1730.1395,1473.9417,1109.1739,1218.0634,1065.3587,1048.5482,891.7059,655.1808,1266.9684,588,2613,6377,6099,3463,3502,3540,3266
"2022-12-13 18:",3508,0,0.4,0.5,3,83,0.6,9,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,463.3216,213.8406,1504.3782,4823.4076,3680.9009,2216.5865,1878.2005,1324.4135,1356.0583,1103.4593,1106.8444,689.8053,521.5653,992.3029,476.9778,221.5072,1801.1617,7041.2316,4064.5156,2250.645,1624.6651,1147.5549,1251.197,1057.3876,975.6677,817.1867,633.804,1298.0623,683,3207,6377,6099,3463,3502,3540,3266
"2022-04-30 21:",3508,2,11.7,0,2.4,83,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,673.8081,310.9877,2339.7668,6503.0066,5583.7988,2570.731,1759.0235,1150.0927,1189.5707,1007.1648,855.7888,628.8045,511.6372,897.2653,586.8886,272.5495,3016.845,8908.0457,5493.5672,2277.0142,1449.6706,939.166,964.7512,943.7794,828.3374,660.9837,633.549,1244.7762,586,4595,6377,6099,3463,3502,3540,3266
"2022-07-01 19:",3508,1,29.7,0,2.4,68,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,487.0743,224.8028,1250.7996,5026.1774,4297.305,2247.218,1905.2205,1352.2836,1337.8933,1133.9955,878.136,730.491,504.0326,853.2791,678.57,315.1257,2088.8458,6872.5553,4522.2789,2271.2052,1513.5783,1105.6288,1125.6418,971.3248,921.1007,774.829,579.6583,1310.4959,870,3296,6377,6099,3463,3502,3540,3266
"2022-02-04 08:",3508,3,-7.1,0,1.4,68,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.9815,177.6832,436.8475,2584.436,2966.122,1710.345,1409.9107,1092.0388,1205.6306,1049.1234,827.2631,657.6714,473.9526,874.3775,342.3647,158.9935,625.353,4029.8245,3101.5232,1638.552,1138.4523,917.0836,904.7838,879.9284,753.2007,751.9877,546.5477,1179.9287,747,4135,6377,6099,3463,3502,3540,3266
"2022-10-07 21:",3508,3,14.1,0,0.5,54,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,466.0845,215.1157,1481.4628,5706.6771,4641.4331,2423.4232,1710.0782,1129.8231,1261.5431,993.4435,967.2198,632.1842,462.8748,892.3413,519.6611,241.3292,1982.5533,7587.9435,4896.8096,2205.8191,1485.2415,953.3086,1066.6305,913.9622,897.4831,712.4335,589.2195,1298.0414,714,3652,6377,6099,3463,3502,3540,3266
